Date,Open,Close,High,Low
"Oct 01, 2021","1,600.59","1,605.17","1,609.48","1,593.32"
"Sep 30, 2021","1,616.99","1,605.68","1,621.15","1,601.79"
"Sep 29, 2021","1,605.19","1,616.98","1,622.43","1,605.06"
"Sep 28, 2021","1,623.88","1,616.50","1,626.01","1,614.90"
"Sep 27, 2021","1,637.30","1,620.02","1,639.97","1,616.60"
"Sep 23, 2021","1,632.92","1,631.15","1,637.65","1,623.00"
"Sep 22, 2021","1,614.74","1,619.59","1,623.24","1,611.99"
"Sep 21, 2021","1,604.64","1,614.86","1,618.19","1,591.81"
"Sep 20, 2021","1,617.44","1,603.06","1,620.72","1,601.16"
"Sep 17, 2021","1,632.18","1,625.65","1,635.04","1,617.31"
"Sep 16, 2021","1,633.28","1,631.70","1,636.01","1,628.57"
"Sep 15, 2021","1,624.17","1,628.04","1,630.05","1,620.84"
"Sep 14, 2021","1,639.90","1,623.84","1,640.40","1,621.96"
"Sep 13, 2021","1,634.43","1,633.76","1,642.63","1,627.29"
"Sep 10, 2021","1,633.10","1,635.35","1,639.65","1,620.58"
"Sep 09, 2021","1,637.65","1,629.12","1,646.07","1,626.95"
"Sep 08, 2021","1,632.18","1,640.45","1,641.29","1,627.17"
"Sep 07, 2021","1,653.67","1,636.45","1,658.08","1,635.11"
"Sep 06, 2021","1,652.33","1,648.37","1,655.04","1,644.56"
"Sep 03, 2021","1,654.00","1,650.33","1,657.79","1,644.12"
"Sep 02, 2021","1,634.25","1,647.75","1,652.03","1,633.12"
"Sep 01, 2021","1,643.01","1,634.48","1,646.07","1,628.16"
"Aug 31, 2021","1,632.65","1,638.75","1,643.76","1,628.12"
"Aug 30, 2021","1,621.68","1,633.77","1,634.92","1,621.42"
"Aug 27, 2021","1,602.16","1,611.20","1,615.22","1,600.00"
"Aug 26, 2021","1,601.99","1,601.91","1,603.99","1,595.69"
"Aug 25, 2021","1,591.29","1,600.49","1,601.09","1,588.37"
"Aug 24, 2021","1,590.12","1,586.98","1,598.39","1,585.46"
"Aug 23, 2021","1,566.10","1,582.07","1,583.13","1,565.93"
"Aug 20, 2021","1,549.92","1,553.18","1,554.45","1,545.92"
"Aug 19, 2021","1,546.70","1,544.28","1,553.90","1,543.75"
