Date,Open,Close,High,Low
"Oct 01, 2021","1,342.06","1,334.89","1,344.06","1,332.97"
"Sep 30, 2021","1,339.21","1,342.06","1,348.89","1,339.21"
"Sep 29, 2021","1,339.31","1,339.21","1,340.90","1,328.17"
"Sep 28, 2021","1,324.99","1,339.31","1,341.81","1,316.41"
"Sep 27, 2021","1,351.17","1,324.99","1,354.38","1,324.99"
"Sep 24, 2021","1,352.76","1,351.17","1,356.97","1,348.07"
"Sep 23, 2021","1,350.68","1,352.76","1,361.09","1,350.43"
"Sep 22, 2021","1,339.84","1,350.68","1,350.71","1,336.63"
"Sep 21, 2021","1,350.48","1,339.84","1,350.48","1,324.82"
"Sep 20, 2021","1,352.64","1,350.48","1,365.92","1,349.18"
"Sep 17, 2021","1,345.87","1,352.64","1,356.45","1,345.87"
"Sep 16, 2021","1,345.83","1,345.87","1,353.12","1,341.23"
"Sep 15, 2021","1,339.70","1,345.83","1,347.70","1,334.97"
"Sep 14, 2021","1,341.43","1,339.70","1,349.13","1,336.84"
"Sep 13, 2021","1,345.31","1,341.43","1,350.69","1,340.50"
"Sep 10, 2021","1,343.98","1,345.31","1,350.43","1,343.98"
"Sep 09, 2021","1,333.61","1,343.98","1,345.59","1,332.67"
"Sep 08, 2021","1,341.90","1,333.61","1,344.49","1,328.35"
"Sep 07, 2021","1,346.39","1,341.90","1,353.66","1,340.32"
"Sep 06, 2021","1,334.65","1,346.39","1,348.36","1,334.65"
"Sep 01, 2021","1,331.47","1,334.65","1,338.02","1,328.13"
"Aug 31, 2021","1,328.14","1,331.47","1,336.14","1,325.69"
"Aug 30, 2021","1,313.20","1,328.14","1,329.62","1,313.20"
"Aug 27, 2021","1,301.12","1,313.20","1,313.20","1,285.16"
"Aug 26, 2021","1,309.55","1,301.12","1,316.26","1,295.77"
"Aug 25, 2021","1,298.74","1,309.55","1,310.16","1,291.70"
"Aug 24, 2021","1,298.86","1,298.74","1,307.56","1,289.16"
"Aug 23, 2021","1,329.43","1,298.86","1,329.43","1,298.86"
"Aug 20, 2021","1,374.85","1,329.43","1,374.85","1,317.52"
"Aug 19, 2021","1,360.94","1,374.85","1,374.85","1,352.94"
"Aug 18, 2021","1,363.09","1,360.94","1,370.50","1,355.83"
"Aug 17, 2021","1,370.96","1,363.09","1,379.70","1,359.11"
"Aug 16, 2021","1,357.05","1,370.96","1,372.33","1,357.05"
"Aug 13, 2021","1,353.05","1,357.05","1,357.41","1,336.74"
"Aug 12, 2021","1,357.79","1,353.05","1,365.01","1,353.05"
"Aug 11, 2021","1,362.43","1,357.79","1,374.03","1,357.79"
"Aug 10, 2021","1,359.86","1,362.43","1,370.35","1,358.12"
"Aug 09, 2021","1,341.45","1,359.86","1,361.12","1,334.69"
"Aug 06, 2021","1,345.55","1,341.45","1,351.85","1,341.45"
"Aug 05, 2021","1,334.74","1,345.55","1,346.62","1,326.80"
"Aug 04, 2021","1,332.44","1,334.74","1,340.76","1,328.40"
"Aug 03, 2021","1,314.22","1,332.44","1,332.44","1,314.22"
"Aug 02, 2021","1,310.05","1,314.22","1,322.35","1,304.49"
"Jul 30, 2021","1,293.60","1,310.05","1,311.97","1,293.60"
"Jul 29, 2021","1,277.07","1,293.60","1,293.60","1,277.07"
"Jul 28, 2021","1,276.93","1,277.07","1,281.17","1,271.78"
"Jul 27, 2021","1,272.71","1,276.93","1,288.35","1,272.71"
"Jul 26, 2021","1,268.83","1,272.71","1,277.33","1,254.57"
"Jul 23, 2021","1,293.67","1,268.83","1,295.63","1,268.83"
"Jul 22, 2021","1,270.79","1,293.67","1,294.16","1,266.54"
"Jul 21, 2021","1,273.29","1,270.79","1,284.33","1,266.71"
"Jul 20, 2021","1,243.51","1,273.29","1,273.29","1,225.52"
"Jul 19, 2021","1,299.31","1,243.51","1,299.31","1,237.79"
"Jul 16, 2021","1,293.92","1,299.31","1,304.37","1,293.92"
"Jul 15, 2021","1,279.91","1,293.92","1,299.18","1,270.77"
"Jul 14, 2021","1,297.54","1,279.91","1,305.37","1,264.68"
"Jul 13, 2021","1,296.30","1,297.54","1,307.73","1,278.30"
"Jul 12, 2021","1,347.14","1,296.30","1,347.14","1,270.06"
"Jul 09, 2021","1,374.68","1,347.14","1,374.68","1,335.90"
"Jul 08, 2021","1,388.55","1,374.68","1,388.55","1,363.92"
"Jul 07, 2021","1,354.79","1,388.55","1,388.55","1,334.58"
"Jul 06, 2021","1,417.10","1,354.79","1,417.95","1,354.79"
"Jul 05, 2021","1,420.27","1,411.13","1,420.27","1,399.34"
"Jul 02, 2021","1,422.89","1,420.27","1,424.28","1,415.82"
"Jul 01, 2021","1,412.15","1,417.08","1,417.27","1,402.18"
"Jun 30, 2021","1,410.83","1,408.55","1,419.61","1,408.18"
"Jun 29, 2021","1,408.34","1,410.04","1,416.34","1,406.87"
"Jun 28, 2021","1,397.96","1,405.81","1,406.02","1,390.56"
"Jun 25, 2021","1,382.11","1,390.12","1,390.12","1,372.80"
"Jun 24, 2021","1,376.87","1,379.72","1,384.71","1,372.99"
"Jun 23, 2021","1,383.15","1,376.87","1,388.33","1,372.06"
