Date,Open,Close,High,Low
09/30/21,10391.14,10517.03,10517.03,10281.2
09/29/21,10446.78,10391.14,10463.52,10345.4
09/28/21,10496,10446.78,10499.86,10424.3
09/27/21,10649.76,10496,10652.15,10496
09/26/21,10642.02,10649.76,10704.25,10621.58
09/23/21,10596.06,10642.02,10683.18,10596.06
09/22/21,10498.52,10596.06,10609.29,10498.52
09/21/21,10710.56,10498.52,10711.09,10453.19
09/20/21,10889.65,10710.56,10889.65,10693.65
09/19/21,10996.76,10889.65,11098.53,10878.9
09/16/21,11149.36,10996.76,11182.23,10996.76
09/15/21,11187.82,11149.36,11239.72,11117.08
09/14/21,11140.22,11187.82,11206.47,11139.99
09/13/21,11036.93,11140.22,11140.22,11036.93
09/12/2021,11056.27,11036.93,11083.93,11022.74
09/09/2021,11135.48,11056.27,11137.06,11041.82
09/08/2021,11089.8,11135.48,11149.75,11085.25
09/07/2021,11064.17,11089.8,11122.51,11002.99
09/06/2021,11095.89,11064.17,11114.2,10954.98
09/05/2021,11301.36,11095.89,11301.36,11090.75
09/02/2021,11283.7,11301.36,11321.95,11283.7
09/01/2021,11143.8,11283.7,11283.7,11143.58
08/31/21,11163.23,11143.8,11191.62,11129.94
08/30/21,11113.74,11163.23,11198.14,11113.74
08/29/21,11125.55,11113.74,11126.08,11043.74
08/26/21,11064.43,11125.55,11160.43,11064.43
08/25/21,10950.24,11064.43,11072.9,10950.24
08/24/21,10884.29,10950.24,10953.63,10884.29
08/23/21,10690.79,10884.29,10884.47,10683.25
08/22/21,10808.7,10690.79,10815.51,10686.4
08/19/21,10907.96,10808.7,10907.96,10808.7
08/18/21,10937.69,10907.96,10956.19,10906
08/17/21,11046.15,10937.69,11061.94,10935.98
08/16/21,11029.56,11046.15,11145.58,11029.56
08/15/21,10884.5,11029.56,11061.35,10884.5
08/11/2021,10853.83,10884.5,10887.67,10852.5
08/09/2021,10738.67,10800.39,10808.25,10738.67
08/08/2021,10723.18,10738.67,10750.16,10722.61
08/05/2021,10718.89,10723.18,10756.32,10718.89
08/04/2021,10726.33,10718.89,10734.68,10688.35
08/03/2021,10821.88,10726.33,10821.95,10726.33
08/02/2021,10810.21,10821.88,10874.58,10808.7
08/01/2021,10742.23,10810.21,10812.89,10739.59
07/29/21,10769.22,10742.23,10837.21,10742.23
07/28/21,10763.26,10769.22,10795.08,10723.59
07/27/21,10697.32,10763.26,10763.75,10697.32
07/26/21,10745.69,10697.32,10757.41,10685.41
07/25/21,10646.85,10745.69,10757.09,10646.85
07/18/21,10561.28,10646.85,10648.73,10561.28
07/15/21,10602.41,10561.28,10609.82,10549.57
07/14/21,10431.99,10602.41,10625.3,10431.99
07/13/21,10233.7,10431.99,10431.99,10233.7
07/12/2021,10153.47,10233.7,10233.88,10153.43
07/11/2021,10184.8,10153.47,10190.06,10152.6
07/08/2021,10277.25,10184.8,10279.29,10184.8
07/07/2021,10154.79,10277.25,10280,10154.79
07/06/2021,10348.29,10154.79,10348.29,10147.51
07/05/2021,10345.66,10348.29,10386.95,10345.66
07/04/2021,10256.62,10345.66,10346.14,10256.62
06/30/21,10123.06,10256.62,10262.18,10122.86
06/29/21,10273.92,10123.06,10273.92,10094.17
06/28/21,10305.02,10273.92,10326.03,10261.18
06/27/21,10278.86,10305.02,10305.14,10278.86
06/24/21,10272.72,10278.86,10285.49,10244.79
06/23/21,10206.24,10272.72,10311.94,10206.24
06/22/21,10061.58,10206.24,10206.24,10059.35
06/21/21,9797.91,10061.58,10061.66,9797.91
06/20/21,9865.59,9797.91,9865.66,9769.18
06/17/21,9880.49,9865.59,9906.43,9863.85
06/16/21,9891.18,9880.49,9898.07,9845.3
06/15/21,9933.35,9891.18,9960.83,9891.18
06/14/21,9887.19,9933.35,9944.81,9837.61
06/13/21,9977.9,9887.19,10015.57,9887.19
06/10/2021,10042.18,9977.9,10054.41,9977.9
06/09/2021,9963.91,10042.18,10046.22,9959.91
06/08/2021,10105.04,9963.91,10128.81,9959.32
06/07/2021,10122.44,10105.04,10131.54,10091.15
06/06/2021,10054.81,10122.44,10143.59,10038.57
06/03/2021,10120.95,10054.81,10122.52,10029.14
06/02/2021,10240.21,10120.95,10245.4,10120.95
06/01/2021,10309.06,10240.21,10323.55,10231.43
05/31/21,10301.58,10309.06,10380.47,10301.58
05/30/21,10242.3,10301.58,10305.54,10242.3
05/27/21,10369.57,10242.3,10371.41,10242.3
05/26/21,10531.83,10369.57,10532.41,10369.57
05/25/21,10760.95,10531.83,10760.95,10531.61
05/24/21,10812.06,10760.95,10835.24,10760.8
05/23/21,10731.96,10812.06,10812.27,10731.96
05/20/21,10806.23,10731.96,10816.57,10731.69
05/19/21,10780.9,10806.23,10862.98,10780.9
05/18/21,10674.67,10780.9,10780.9,10669.21
05/17/21,10767.84,10674.67,10790.79,10673.67
05/16/21,10686.03,10767.84,10771.56,10686.03
05/12/2021,10686.03,10767.84,10771.56,10686.03
05/11/2021,10686.03,10767.84,10771.56,10686.03
05/10/2021,10643.63,10686.03,10687.71,10632.01
05/09/2021,10588.09,10643.63,10658.87,10588.09
05/06/2021,10512.84,10588.09,10588.86,10512.84
05/05/2021,10465.59,10512.84,10515.71,10418.41
05/04/2021,10475.26,10465.59,10475.26,10431.03
04/28/21,10591.42,10475.26,10594.36,10475.26
04/27/21,10525.84,10591.42,10598.85,10525.84
04/26/21,10604.28,10525.84,10604.28,10507.48
04/25/21,10600.07,10604.28,10621.55,10600.07
04/22/21,10642.49,10600.07,10642.59,10560.19
04/21/21,10620.05,10642.49,10711.41,10616.77
04/20/21,10441,10620.05,10620.05,10441
04/19/21,10358.26,10441,10441,10351.12
04/18/21,10143.21,10358.26,10360.94,10143.21
04/15/21,10115.51,10143.21,10212.7,10115.51
04/14/21,10305.81,10115.51,10322.39,10114.7
04/13/21,10450.09,10305.81,10460.55,10305.81
04/12/2021,10393.13,10450.09,10503.14,10393.1
04/11/2021,10303.55,10393.13,10393.13,10291.39
04/08/2021,10227.67,10303.55,10311.97,10227.48
04/07/2021,10263.22,10227.67,10263.22,10209.36
