Date,Open,Close,High,Low
"Oct 01, 2021",860.45,871.06,872.52,853.87
"Sep 30, 2021",868.77,865.34,873.17,861.58
"Sep 29, 2021",859.85,866.35,867.16,854.86
"Sep 28, 2021",874.41,860.03,874.74,860.03
"Sep 27, 2021",871.71,875.43,879.57,871.71
"Sep 24, 2021",882.08,873.1,882.08,866.52
"Sep 23, 2021",897.69,886.72,902.66,884.03
"Sep 22, 2021",895.33,894.3,897.67,891.54
"Sep 21, 2021",892.72,894.33,898.25,887.56
"Sep 20, 2021",902.34,892.13,902.34,886.07
"Sep 17, 2021",911.1,912.81,913.56,905.24
"Sep 16, 2021",905.84,909.16,909.45,905.84
"Sep 15, 2021",906.64,904.1,907.48,901.91
"Sep 14, 2021",905.86,906.81,907.08,900.13
"Sep 13, 2021",904.71,905.37,910.25,903.29
"Sep 10, 2021",898.76,901.13,904.63,897.27
"Sep 09, 2021",904.05,899.22,904.14,892.62
"Sep 08, 2021",905.65,905.48,905.65,894.83
"Sep 07, 2021",915.58,909.29,917.62,909.26
"Sep 06, 2021",916.64,915.62,920.61,910.21
"Sep 03, 2021",916.34,915.05,919.74,912.98
"Sep 02, 2021",920.4,917.06,921.3,913.12
"Sep 01, 2021",926.45,918.06,928.87,918.06
"Aug 31, 2021",929.76,923.15,931.94,920.75
"Aug 30, 2021",915.29,929.26,929.26,915.29
"Aug 27, 2021",914.77,914.39,915.96,912.82
"Aug 26, 2021",913.89,915.75,916.42,911.83
"Aug 25, 2021",907.93,914.43,915.46,907.34
"Aug 24, 2021",899.24,907.56,911.17,899.24
"Aug 23, 2021",886.69,897.44,899,886.69
"Aug 20, 2021",880.01,883.11,886.47,878.95
"Aug 19, 2021",894.09,881.95,894.09,878.33
"Aug 18, 2021",900.65,898.58,902.26,896.59
"Aug 17, 2021",899.09,899.88,901.79,895.31
"Aug 16, 2021",893.97,898.9,899.07,889.98
"Aug 13, 2021",893.12,895.29,897.06,892.6
"Aug 12, 2021",899.41,893.98,902.79,893.26
"Aug 11, 2021",897.61,900.1,900.44,896.3
"Aug 10, 2021",891.71,897.15,897.68,891.71
"Aug 09, 2021",890.56,893.07,895.42,887.15
"Aug 06, 2021",902.06,893.47,902.71,890.34
"Aug 05, 2021",898.21,903.33,904.67,898.21
"Aug 04, 2021",895.99,895.71,899.59,895.29
"Aug 03, 2021",896.62,895.19,901.19,893.35
"Aug 02, 2021",889.85,897.45,898.02,889.85
"Jul 30, 2021",884.35,888.26,888.26,880.41
"Jul 29, 2021",878.3,882.74,884.96,878.07
"Jul 28, 2021",876.19,877.99,881.52,872.24
"Jul 27, 2021",868.7,876.35,877.25,866.51
"Jul 26, 2021",864.52,869.9,870.13,860.13
"Jul 23, 2021",859.59,864.44,864.82,859.59
"Jul 22, 2021",857.19,858.13,862.18,854.67
"Jul 21, 2021",840.82,854.22,854.43,840.82
"Jul 20, 2021",837.39,838.83,842.8,834.51
"Jul 19, 2021",864.78,833.16,864.78,830.07
"Jul 16, 2021",864.35,866.81,870.1,863.96
"Jul 15, 2021",868.74,863.78,870.79,862.17
"Jul 14, 2021",868.67,871.07,873.43,865.06
"Jul 13, 2021",873.12,869.72,874.34,866.97
"Jul 12, 2021",875.76,873.87,885.52,873.04
"Jul 09, 2021",858.47,874.25,875.23,858.47
"Jul 08, 2021",874.27,859.46,874.27,856.73
"Jul 07, 2021",879.34,877.22,883.66,876.91
"Jul 06, 2021",876.07,878.55,878.9,870.51
"Jul 05, 2021",885.42,876.96,886.11,875.43
"Jul 02, 2021",889.38,886.66,892.87,884.51
"Jul 01, 2021",889.01,888.13,891.86,887.48
"Jun 30, 2021",894.2,884.89,895.44,883.96
"Jun 29, 2021",901.97,893.6,904.13,891.76
"Jun 28, 2021",910.43,903.34,910.78,901.75
"Jun 25, 2021",909.21,907.76,909.3,903.36
"Jun 24, 2021",909.66,909.84,912.78,908.01
"Jun 23, 2021",909.3,910.34,914.87,909.3
"Jun 22, 2021",906.04,908.1,912.03,905.19
"Jun 18, 2021",914.69,905.55,915.84,905.49
"Jun 17, 2021",912.76,914.77,916.43,909.45
"Jun 16, 2021",920.05,911.6,920.05,911.02
"Jun 15, 2021",926.31,920.03,927.56,918.71
"Jun 14, 2021",927.23,927.29,928.29,922.3
"Jun 11, 2021",924.31,925.83,926.32,923.62
"Jun 10, 2021",911.32,924.3,924.54,911.32
"Jun 09, 2021",912.4,913.34,915.08,910.16
"Jun 08, 2021",900.73,913.48,913.78,900.73
"Jun 07, 2021",901.87,902.02,907.05,901.17
"Jun 04, 2021",895.84,901.6,903.15,894.14
"Jun 03, 2021",897.66,894.94,899.85,892.51
"Jun 02, 2021",894.66,900.49,902.26,894.66
"Jun 01, 2021",897.48,894.13,898.65,890.94
"May 31, 2021",889.93,894.85,894.9,889.93
"May 28, 2021",885.51,887.6,892.5,885.51
"May 27, 2021",874.24,883.39,887.91,873
"May 26, 2021",871.7,873.61,878.44,869.81
"May 25, 2021",881.39,868.11,883.17,868.02
"May 24, 2021",869.19,880.26,881.01,869.19
"May 21, 2021",891.67,867.56,892.69,852.54
"May 20, 2021",881.82,888.41,890.35,874.92
"May 19, 2021",894.96,881.04,896.01,879.15
"May 18, 2021",906.82,900.65,910.28,900.65
"May 17, 2021",907.75,903.48,914.23,902.73
"May 14, 2021",903.44,907.08,907.42,897.86
"May 13, 2021",884.79,899.42,903.67,880.03
"May 12, 2021",896.09,894.7,901.88,890.76
"May 11, 2021",896.39,896.04,896.39,886.58
"May 10, 2021",901.25,906.07,912.68,900.89
"May 07, 2021",910.11,897.01,911.67,891.85
"May 06, 2021",911.09,910.21,917.3,908.14
"May 05, 2021",913.76,911.42,914.71,908.44
"Apr 29, 2021",912.53,910.37,919.05,910.37
"Apr 28, 2021",904.36,910.37,910.71,897.35
"Apr 27, 2021",914.62,903.44,918.95,903.44
"Apr 26, 2021",906.61,913.12,919.21,906.61
"Apr 23, 2021",894.76,899.58,899.58,890.89
"Apr 22, 2021",878.43,893.76,896.82,878.43
"Apr 21, 2021",876.74,875.44,881.05,870.39
"Apr 20, 2021",874.29,876.76,883.09,869.5
"Apr 19, 2021",895.36,875.76,896.29,873.34
"Apr 16, 2021",904.1,898.63,907.74,897.47
"Apr 15, 2021",904.04,905.31,907.05,902.52
"Apr 14, 2021",899.58,902.04,902.9,895.13
"Apr 13, 2021",900.15,899.9,903.22,894.73
"Apr 12, 2021",894.26,897.55,903.45,893.62
"Apr 09, 2021",883.18,891.69,891.69,882.73
"Apr 08, 2021",881.44,884.77,886.15,880.98
"Apr 07, 2021",879,881.49,884.5,875.91
"Apr 06, 2021",879.07,877.04,885.92,876.26
"Apr 01, 2021",866.89,875.22,876.6,866.89
"Mar 31, 2021",873.23,865.05,874.55,863.44
"Mar 30, 2021",865.8,873.62,873.62,862.05
"Mar 29, 2021",855.48,862.83,870.06,855.48
"Mar 26, 2021",840.3,851.82,853.63,840.1
"Mar 24, 2021",830.59,837.09,838.61,829.33
"Mar 23, 2021",831.22,831.86,836.65,823.73
"Mar 22, 2021",829.69,832.06,835.65,826.87
"Mar 19, 2021",842.05,833.07,842.05,830.78
"Mar 18, 2021",860.11,844.56,862.36,840.18
"Mar 17, 2021",860.72,857.19,861.29,855.98
"Mar 16, 2021",855.32,860.26,860.72,851.95
"Mar 12, 2021",849.41,849.81,850.98,843.43
"Mar 11, 2021",844.46,850.07,850.58,843.4
"Mar 10, 2021",838.97,841.12,843.33,833.29
"Mar 09, 2021",829.18,837.61,840.74,828.73
"Mar 08, 2021",825.79,827.06,833,824.67
"Mar 05, 2021",814.22,825.02,825.23,811.85
"Mar 04, 2021",812.8,817.24,819.36,809.26
"Mar 03, 2021",819.17,815.1,827.68,815.03
"Mar 02, 2021",803.7,817.03,818.07,801.77
"Mar 01, 2021",795.99,802.6,810.64,795.99
"Feb 26, 2021",777.88,792.38,792.71,777.57
"Feb 25, 2021",778.99,787.43,788.07,778.97
"Feb 24, 2021",774.91,774.8,786.14,773.66
"Feb 23, 2021",784.98,773.52,788.94,772.4
"Feb 22, 2021",779.24,781.99,788.75,775.35
"Feb 19, 2021",782.94,781.42,790,781.11
"Feb 18, 2021",790.22,782.23,795.07,782.23
"Feb 17, 2021",792,788.75,796.58,785.31
"Feb 16, 2021",799.16,795.91,803.94,794.48
"Feb 15, 2021",779.04,796.38,797.23,779.04
"Feb 12, 2021",773.97,776.09,778.77,772.86
"Feb 11, 2021",762.97,774.38,779.4,762.97
