Date,Open,Close,High,Low
"Sep 30, 2021","1,981.03","1,974.43","1,981.43","1,968.75"
"Sep 29, 2021","1,985.01","1,978.92","1,987.43","1,973.96"
"Sep 26, 2021","1,996.50","1,992.36","1,998.43","1,990.91"
"Sep 23, 2021","1,983.60","1,991.15","1,996.03","1,983.60"
"Sep 22, 2021","1,977.08","1,977.05","1,982.41","1,969.73"
"Sep 19, 2021","1,973.95","1,982.21","1,983.51","1,973.22"
"Sep 14, 2021","1,970.87","1,967.80","1,971.54","1,961.67"
"Sep 13, 2021","1,963.17","1,969.00","1,982.49","1,963.16"
"Sep 12, 2021","1,956.90","1,958.12","1,962.53","1,952.35"
"Sep 09, 2021","1,945.54","1,962.96","1,963.35","1,942.03"
"Sep 05, 2021","1,947.92","1,959.61","1,959.61","1,946.68"
"Sep 02, 2021","1,956.94","1,944.72","1,958.26","1,944.72"
"Sep 01, 2021","1,949.66","1,954.91","1,955.53","1,948.40"
"Aug 31, 2021","1,950.84","1,945.33","1,954.48","1,939.41"
"Aug 30, 2021","1,954.44","1,948.05","1,955.94","1,942.38"
"Aug 29, 2021","1,942.89","1,952.28","1,952.28","1,942.89"
"Aug 26, 2021","1,941.46","1,936.29","1,942.76","1,930.75"
"Aug 25, 2021","1,929.12","1,940.00","1,940.00","1,926.48"
"Aug 24, 2021","1,914.45","1,927.86","1,927.86","1,914.45"
"Aug 23, 2021","1,896.25","1,908.70","1,908.70","1,896.15"
"Aug 22, 2021","1,890.46","1,892.06","1,903.59","1,889.83"
"Aug 19, 2021","1,885.96","1,883.64","1,886.32","1,872.94"
"Aug 18, 2021","1,874.89","1,890.05","1,891.59","1,874.89"
"Aug 17, 2021","1,881.81","1,870.24","1,883.02","1,863.94"
"Aug 16, 2021","1,908.62","1,882.43","1,908.62","1,881.09"
"Aug 15, 2021","1,906.23","1,908.41","1,912.08","1,904.50"
"Aug 12, 2021","1,891.40","1,903.81","1,905.02","1,884.08"
"Aug 11, 2021","1,893.05","1,888.71","1,898.57","1,884.79"
"Aug 10, 2021","1,880.55","1,891.90","1,897.65","1,879.75"
"Aug 09, 2021","1,892.49","1,878.37","1,894.08","1,873.48"
"Aug 08, 2021","1,896.82","1,893.29","1,904.01","1,893.29"
"Aug 05, 2021","1,901.27","1,894.45","1,903.05","1,894.45"
"Aug 04, 2021","1,908.58","1,902.74","1,915.82","1,900.51"
"Aug 03, 2021","1,931.64","1,902.87","1,932.40","1,898.37"
"Aug 02, 2021","1,925.49","1,932.43","1,935.50","1,925.49"
"Aug 01, 2021","1,915.04","1,919.54","1,920.33","1,914.50"
"Jul 29, 2021","1,915.98","1,914.26","1,916.13","1,906.69"
"Jul 28, 2021","1,897.27","1,904.40","1,905.45","1,892.58"
"Jul 27, 2021","1,908.18","1,895.54","1,911.93","1,895.54"
"Jul 26, 2021","1,916.46","1,909.03","1,916.75","1,900.16"
"Jul 25, 2021","1,904.80","1,918.16","1,919.34","1,904.53"
"Jul 22, 2021","1,890.44","1,900.56","1,905.78","1,890.44"
"Jul 21, 2021","1,867.18","1,893.24","1,896.67","1,867.18"
"Jul 20, 2021","1,851.46","1,863.16","1,870.00","1,851.46"
"Jul 19, 2021","1,900.58","1,845.01","1,900.94","1,845.01"
"Jul 15, 2021","1,931.65","1,911.18","1,931.65","1,907.74"
"Jul 14, 2021","1,940.53","1,936.73","1,942.27","1,932.60"
"Jul 13, 2021","1,951.35","1,941.63","1,953.74","1,938.59"
"Jul 12, 2021","1,959.24","1,946.03","1,962.38","1,946.03"
"Jul 11, 2021","1,942.72","1,958.85","1,958.85","1,942.72"
"Jul 08, 2021","1,971.04","1,928.79","1,971.04","1,923.18"
"Jul 07, 2021","1,972.19","1,973.82","1,980.07","1,970.31"
"Jul 06, 2021","1,974.12","1,970.59","1,977.45","1,967.24"
"Jul 05, 2021","1,969.29","1,971.78","1,974.15","1,966.19"
"Jul 04, 2021","1,968.25","1,968.28","1,972.48","1,967.54"
"Jul 01, 2021","1,971.19","1,965.98","1,975.62","1,959.85"
"Jun 30, 2021","1,975.32","1,970.36","1,977.08","1,965.12"
"Jun 29, 2021","1,979.17","1,974.68","1,982.83","1,970.35"
"Jun 28, 2021","1,966.92","1,977.32","1,978.39","1,966.92"
"Jun 27, 2021","1,972.79","1,964.22","1,977.65","1,964.22"
"Jun 24, 2021","1,974.34","1,967.56","1,975.85","1,966.90"
"Jun 23, 2021","1,974.22","1,971.89","1,975.53","1,962.71"
"Jun 22, 2021","1,974.35","1,968.45","1,977.89","1,965.06"
"Jun 21, 2021","1,962.99","1,970.72","1,973.91","1,956.42"
"Jun 20, 2021","1,969.34","1,963.96","1,969.69","1,960.05"
"Jun 17, 2021","1,982.68","1,976.49","1,983.01","1,965.70"
"Jun 16, 2021","1,992.85","1,986.81","1,992.85","1,980.45"
"Jun 15, 2021","1,999.61","1,993.29","2,002.05","1,989.68"
"Jun 14, 2021","1,990.30","1,996.34","2,001.55","1,989.94"
"Jun 13, 2021","1,972.92","1,988.13","1,988.13","1,972.75"
"Jun 10, 2021","1,960.35","1,966.52","1,966.52","1,950.27"
"Jun 09, 2021","1,971.63","1,962.24","1,971.64","1,957.99"
"Jun 08, 2021","1,966.62","1,965.09","1,970.47","1,960.03"
"Jun 07, 2021","1,967.57","1,964.94","1,971.64","1,959.17"
"Jun 06, 2021","1,950.37","1,962.73","1,965.57","1,950.37"
"Jun 03, 2021","1,969.57","1,942.55","1,972.30","1,939.21"
"Jun 02, 2021","1,974.87","1,965.42","1,979.45","1,958.87"
"Jun 01, 2021","1,989.28","1,972.62","1,993.11","1,970.97"
"May 31, 2021","1,999.60","1,987.69","2,003.03","1,977.21"
"May 30, 2021","1,987.29","1,993.93","1,993.93","1,987.29"
"May 27, 2021","1,990.09","1,977.47","1,994.20","1,973.58"
"May 26, 2021","1,995.32","1,983.14","1,996.11","1,975.07"
"May 25, 2021","2,007.21","1,991.93","2,009.63","1,986.61"
"May 24, 2021","2,011.89","2,001.61","2,016.58","1,994.50"
"May 23, 2021","1,987.52","2,008.57","2,008.57","1,987.52"
"May 20, 2021","1,956.37","1,975.71","1,975.71","1,955.81"
"May 19, 2021","1,953.34","1,941.96","1,960.39","1,933.80"
"May 18, 2021","1,939.08","1,953.57","1,963.32","1,939.08"
"May 13, 2021","1,910.79","1,924.66","1,930.16","1,891.33"
"May 12, 2021","1,898.43","1,913.92","1,928.16","1,897.60"
"May 11, 2021","1,939.43","1,908.67","1,939.43","1,891.24"
"May 10, 2021","1,969.29","1,952.95","1,972.50","1,949.15"
"May 09, 2021","1,957.81","1,962.48","1,969.46","1,957.81"
"May 06, 2021","1,974.75","1,945.11","1,981.42","1,945.11"
"May 05, 2021","1,951.95","1,969.01","1,976.14","1,951.84"
"May 04, 2021","1,967.11","1,948.22","1,968.84","1,943.91"
"May 03, 2021","1,947.02","1,966.07","1,966.20","1,947.02"
"May 02, 2021","1,934.05","1,940.24","1,940.24","1,932.16"
"Apr 29, 2021","1,936.12","1,939.95","1,946.78","1,934.71"
"Apr 28, 2021","1,928.40","1,927.12","1,930.93","1,918.41"
"Apr 27, 2021","1,922.41","1,921.09","1,926.78","1,921.09"
"Apr 26, 2021","1,917.93","1,916.82","1,920.13","1,897.33"
"Apr 25, 2021","1,907.64","1,912.74","1,912.85","1,907.08"
"Apr 22, 2021","1,901.28","1,902.82","1,906.91","1,897.41"
"Apr 21, 2021","1,897.08","1,893.10","1,900.91","1,883.52"
"Apr 20, 2021","1,904.11","1,898.95","1,909.00","1,893.89"
"Apr 19, 2021","1,904.56","1,903.85","1,908.67","1,900.82"
"Apr 18, 2021","1,899.81","1,901.79","1,905.83","1,895.42"
"Apr 13, 2021","1,895.63","1,895.08","1,898.04","1,890.01"
"Apr 12, 2021","1,901.86","1,892.48","1,902.64","1,885.79"
"Apr 11, 2021","1,894.04","1,900.90","1,900.90","1,894.03"
"Apr 08, 2021","1,877.29","1,884.98","1,885.06","1,877.29"
"Apr 07, 2021","1,872.95","1,874.78","1,879.33","1,867.28"
"Apr 06, 2021","1,875.11","1,869.98","1,880.86","1,869.02"
"Apr 05, 2021","1,894.11","1,873.96","1,898.79","1,873.96"
"Apr 04, 2021","1,873.55","1,889.70","1,889.70","1,873.55"
"Apr 01, 2021","1,851.98","1,865.64","1,865.64","1,851.98"
"Mar 31, 2021","1,851.78","1,848.19","1,856.20","1,841.44"
"Mar 30, 2021","1,850.14","1,848.80","1,851.44","1,840.79"
"Mar 29, 2021","1,831.54","1,851.68","1,851.68","1,831.54"
"Mar 25, 2021","1,837.12","1,822.12","1,838.79","1,811.48"
"Mar 24, 2021","1,848.46","1,845.12","1,849.25","1,836.36"
"Mar 22, 2021","1,843.46","1,856.18","1,856.18","1,843.46"
"Mar 21, 2021","1,833.29","1,839.70","1,840.82","1,832.90"
"Mar 18, 2021","1,835.12","1,833.47","1,840.29","1,828.79"
"Mar 17, 2021","1,849.21","1,829.99","1,849.38","1,824.29"
"Mar 16, 2021","1,844.27","1,848.51","1,853.11","1,844.06"
"Mar 15, 2021","1,837.93","1,836.71","1,840.85","1,833.96"
"Mar 14, 2021","1,836.11","1,836.06","1,842.28","1,833.45"
"Mar 11, 2021","1,817.36","1,825.76","1,825.76","1,817.11"
"Mar 10, 2021","1,806.37","1,808.16","1,814.01","1,802.45"
"Mar 09, 2021","1,780.51","1,799.67","1,800.97","1,780.51"
"Mar 08, 2021","1,797.89","1,778.73","1,798.05","1,762.57"
"Mar 07, 2021","1,799.95","1,800.37","1,808.63","1,797.79"
"Mar 04, 2021","1,804.34","1,791.82","1,811.57","1,791.82"
"Mar 03, 2021","1,830.90","1,817.78","1,838.02","1,816.54"
"Mar 02, 2021","1,824.51","1,830.58","1,834.60","1,822.82"
"Mar 01, 2021","1,802.19","1,824.05","1,824.05","1,802.19"
"Feb 28, 2021","1,777.54","1,792.23","1,796.11","1,770.62"
"Feb 25, 2021","1,815.12","1,796.87","1,817.92","1,796.10"
"Feb 24, 2021","1,790.38","1,801.84","1,813.55","1,790.38"
"Feb 23, 2021","1,837.54","1,783.09","1,839.52","1,774.33"
"Feb 22, 2021","1,856.70","1,841.49","1,856.85","1,834.81"
"Feb 21, 2021","1,840.56","1,856.87","1,858.31","1,840.56"
"Feb 18, 2021","1,861.24","1,832.69","1,862.53","1,832.69"
"Feb 17, 2021","1,893.79","1,860.89","1,893.79","1,856.96"
"Feb 16, 2021","1,897.64","1,891.85","1,900.87","1,886.91"
"Feb 15, 2021","1,877.33","1,891.06","1,891.06","1,877.33"
"Feb 14, 2021","1,876.63","1,872.47","1,880.98","1,870.95"
"Feb 11, 2021","1,887.98","1,866.85","1,888.55","1,866.35"
"Feb 10, 2021","1,885.87","1,887.97","1,896.58","1,879.25"
"Feb 09, 2021","1,863.40","1,877.15","1,877.15","1,863.36"
"Feb 08, 2021","1,854.93","1,856.73","1,857.66","1,842.64"
"Feb 07, 2021","1,828.33","1,848.13","1,848.73","1,828.31"
"Feb 04, 2021","1,831.61","1,814.65","1,833.36","1,814.65"
"Feb 03, 2021","1,830.61","1,825.82","1,834.47","1,823.45"
"Feb 02, 2021","1,808.41","1,824.31","1,824.31","1,808.41"
"Feb 01, 2021","1,783.56","1,796.30","1,799.22","1,783.56"
"Jan 31, 2021","1,771.39","1,772.81","1,774.72","1,762.11"
"Jan 28, 2021","1,767.09","1,788.93","1,792.24","1,754.08"
"Jan 27, 2021","1,802.89","1,789.45","1,817.69","1,779.25"
"Jan 26, 2021","1,792.77","1,799.50","1,802.88","1,783.16"
"Jan 25, 2021","1,795.33","1,798.60","1,803.14","1,785.92"
"Jan 24, 2021","1,806.21","1,789.27","1,809.94","1,789.27"
"Jan 21, 2021","1,823.63","1,800.34","1,827.91","1,797.06"
"Jan 20, 2021","1,810.76","1,820.67","1,821.08","1,810.31"
"Jan 19, 2021","1,805.15","1,803.99","1,815.98","1,801.04"
"Jan 18, 2021","1,785.26","1,797.12","1,797.12","1,783.69"
"Jan 17, 2021","1,783.99","1,784.55","1,789.48","1,779.05"
"Jan 14, 2021","1,776.13","1,781.39","1,791.83","1,774.60"
"Jan 13, 2021","1,760.74","1,772.56","1,772.79","1,759.49"
"Jan 12, 2021","1,754.84","1,755.42","1,776.43","1,748.83"
"Jan 11, 2021","1,752.78","1,751.40","1,752.92","1,742.51"
"Jan 10, 2021","1,730.89","1,753.76","1,758.57","1,730.89"
"Jan 07, 2021","1,712.31","1,718.07","1,731.15","1,712.26"
"Jan 06, 2021","1,702.39","1,706.40","1,706.40","1,687.61"
"Jan 05, 2021","1,714.50","1,700.17","1,714.56","1,694.73"
"Jan 04, 2021","1,726.72","1,718.68","1,728.03","1,711.72"
"Jan 03, 2021","1,718.66","1,723.11","1,730.48","1,713.38"
"Dec 31, 2020","1,700.31","1,707.64","1,711.75","1,700.15"
"Dec 30, 2020","1,682.46","1,702.38","1,702.38","1,682.33"
"Dec 29, 2020","1,688.53","1,679.82","1,690.18","1,678.77"
"Dec 28, 2020","1,687.91","1,685.53","1,697.04","1,681.91"
"Dec 27, 2020","1,659.14","1,683.03","1,683.03","1,658.95"
"Dec 24, 2020","1,642.55","1,652.72","1,654.00","1,639.57"
"Dec 23, 2020","1,627.26","1,639.86","1,640.68","1,626.86"
"Dec 22, 2020","1,605.51","1,625.79","1,627.56","1,605.33"
"Dec 21, 2020","1,627.80","1,602.20","1,628.11","1,591.79"
"Dec 20, 2020","1,661.75","1,637.36","1,663.91","1,630.61"
"Dec 17, 2020","1,661.13","1,657.79","1,664.13","1,654.78"
"Dec 16, 2020","1,660.67","1,658.01","1,668.42","1,655.43"
"Dec 15, 2020","1,666.87","1,656.91","1,667.02","1,651.06"
"Dec 14, 2020","1,646.93","1,667.67","1,667.67","1,646.93"
"Dec 13, 2020","1,631.69","1,642.61","1,643.59","1,631.69"
"Dec 10, 2020","1,625.47","1,624.81","1,627.53","1,616.43"
"Dec 09, 2020","1,623.52","1,632.00","1,634.49","1,623.52"
"Dec 08, 2020","1,619.50","1,615.74","1,621.96","1,611.81"
"Dec 07, 2020","1,617.43","1,617.03","1,620.52","1,608.26"
"Dec 06, 2020","1,597.76","1,613.55","1,618.41","1,597.76"
"Dec 03, 2020","1,574.64","1,584.00","1,591.37","1,574.61"
"Dec 02, 2020","1,602.33","1,569.97","1,602.64","1,568.70"
"Dec 01, 2020","1,613.24","1,602.44","1,614.78","1,598.45"
"Nov 30, 2020","1,619.86","1,605.29","1,622.15","1,604.64"
"Nov 29, 2020","1,635.90","1,624.33","1,641.61","1,620.26"
"Nov 26, 2020","1,611.69","1,627.68","1,629.12","1,609.42"
"Nov 25, 2020","1,621.27","1,610.73","1,625.95","1,608.19"
"Nov 24, 2020","1,608.47","1,615.07","1,618.95","1,608.47"
"Nov 23, 2020","1,575.07","1,604.18","1,604.18","1,575.07"
"Nov 22, 2020","1,563.11","1,568.75","1,572.23","1,563.06"
"Nov 19, 2020","1,564.98","1,558.21","1,565.46","1,556.57"
"Nov 18, 2020","1,547.49","1,565.25","1,566.45","1,547.49"
"Nov 17, 2020","1,555.08","1,545.73","1,558.78","1,542.84"
"Nov 16, 2020","1,550.79","1,555.56","1,565.91","1,550.42"
"Nov 15, 2020","1,537.51","1,541.78","1,547.56","1,537.51"
"Nov 12, 2020","1,539.74","1,530.84","1,539.74","1,528.50"
"Nov 11, 2020","1,525.76","1,531.87","1,536.49","1,525.76"
"Nov 10, 2020","1,531.47","1,519.48","1,532.99","1,516.54"
"Nov 09, 2020","1,502.05","1,534.08","1,552.99","1,502.05"
"Nov 08, 2020","1,487.54","1,497.31","1,498.07","1,487.49"
"Nov 05, 2020","1,486.67","1,482.59","1,493.33","1,482.59"
"Nov 04, 2020","1,460.64","1,479.30","1,481.72","1,460.64"
"Nov 03, 2020","1,464.18","1,465.48","1,469.51","1,461.04"
"Nov 02, 2020","1,444.06","1,463.43","1,463.43","1,440.44"
"Nov 01, 2020","1,435.60","1,443.33","1,445.60","1,432.26"
"Oct 29, 2020","1,436.92","1,444.32","1,444.53","1,428.27"
"Oct 28, 2020","1,456.79","1,430.04","1,456.79","1,425.77"
"Oct 27, 2020","1,467.33","1,460.46","1,469.75","1,459.51"
"Oct 26, 2020","1,473.88","1,464.61","1,474.62","1,464.61"
"Oct 25, 2020","1,467.59","1,475.95","1,476.04","1,467.57"
"Oct 22, 2020","1,463.66","1,461.75","1,465.83","1,458.37"
"Oct 21, 2020","1,473.16","1,468.71","1,473.91","1,465.49"
"Oct 20, 2020","1,474.85","1,469.83","1,477.49","1,467.48"
"Oct 19, 2020","1,476.87","1,474.89","1,482.63","1,473.34"
"Oct 18, 2020","1,464.60","1,472.07","1,472.18","1,463.74"
"Oct 15, 2020","1,470.17","1,458.75","1,470.17","1,458.08"
"Oct 14, 2020","1,462.87","1,473.41","1,475.65","1,462.77"
"Oct 13, 2020","1,462.97","1,460.83","1,468.96","1,459.92"
"Oct 12, 2020","1,462.60","1,465.36","1,467.28","1,460.16"
"Oct 11, 2020","1,470.30","1,465.02","1,476.70","1,463.53"
"Oct 08, 2020","1,453.55","1,459.80","1,461.11","1,453.55"
"Oct 07, 2020","1,454.27","1,444.54","1,456.05","1,442.10"
"Oct 06, 2020","1,451.88","1,450.69","1,457.71","1,445.75"
"Oct 05, 2020","1,435.09","1,447.48","1,449.64","1,434.83"
"Oct 04, 2020","1,406.09","1,430.12","1,432.93","1,405.97"
"Oct 01, 2020","1,404.92","1,405.10","1,420.20","1,404.92"
"Sep 30, 2020","1,377.67","1,402.75","1,404.37","1,377.67"
"Sep 29, 2020","1,363.00","1,383.02","1,383.76","1,363.00"
"Sep 24, 2020","1,353.15","1,352.52","1,362.29","1,344.47"
"Sep 23, 2020","1,397.71","1,375.02","1,399.51","1,374.80"
"Sep 22, 2020","1,384.91","1,394.72","1,398.02","1,384.53"
"Sep 21, 2020","1,398.55","1,384.70","1,400.48","1,382.42"
"Sep 17, 2020","1,390.77","1,395.02","1,396.55","1,384.37"
"Sep 16, 2020","1,400.17","1,400.76","1,406.77","1,397.85"
"Sep 15, 2020","1,386.11","1,397.11","1,401.59","1,386.02"
"Sep 14, 2020","1,364.17","1,382.54","1,382.60","1,364.17"
