Date,Open,Close,High,Low
"Oct 01, 2021","2,453.30","2,476.50","2,488.80","2,443.00"
"Sep 30, 2021","2,505.20","2,483.40","2,507.80","2,470.70"
"Sep 29, 2021","2,484.30","2,487.30","2,497.10","2,472.60"
"Sep 28, 2021","2,533.00","2,473.30","2,536.20","2,472.60"
"Sep 27, 2021","2,529.60","2,526.40","2,531.80","2,514.70"
"Sep 24, 2021","2,513.40","2,510.80","2,521.50","2,505.40"
"Sep 23, 2021","2,504.40","2,520.80","2,522.00","2,498.10"
"Sep 22, 2021","2,467.20","2,484.10","2,485.60","2,456.50"
"Sep 21, 2021","2,437.70","2,449.60","2,457.90","2,430.60"
"Sep 20, 2021","2,452.10","2,420.30","2,453.10","2,408.60"
"Sep 17, 2021","2,522.50","2,481.20","2,523.00","2,477.20"
"Sep 16, 2021","2,501.90","2,504.90","2,517.10","2,499.50"
"Sep 15, 2021","2,511.20","2,483.80","2,511.20","2,475.10"
"Sep 14, 2021","2,502.20","2,509.30","2,519.10","2,497.10"
"Sep 13, 2021","2,487.80","2,498.10","2,507.30","2,486.30"
"Sep 10, 2021","2,539.60","2,512.20","2,542.10","2,507.80"
"Sep 09, 2021","2,515.20","2,534.50","2,543.30","2,507.80"
"Sep 08, 2021","2,525.20","2,530.80","2,548.90","2,514.70"
"Sep 07, 2021","2,566.00","2,549.40","2,569.40","2,546.40"
"Sep 06, 2021","2,556.20","2,569.20","2,572.40","2,556.20"
"Sep 03, 2021","2,564.10","2,550.40","2,568.00","2,539.60"
"Sep 02, 2021","2,558.70","2,565.60","2,568.20","2,557.70"
"Sep 01, 2021","2,561.60","2,561.20","2,582.20","2,552.30"
"Aug 31, 2021","2,547.90","2,545.20","2,562.60","2,532.30"
"Aug 30, 2021","2,546.00","2,545.70","2,549.90","2,537.20"
"Aug 27, 2021","2,526.90","2,543.50","2,544.00","2,524.40"
"Aug 26, 2021","2,538.20","2,529.30","2,546.90","2,525.90"
"Aug 25, 2021","2,542.60","2,548.20","2,548.90","2,538.70"
"Aug 24, 2021","2,555.80","2,545.20","2,557.70","2,531.80"
"Aug 23, 2021","2,555.30","2,547.20","2,559.20","2,535.70"
"Aug 20, 2021","2,532.30","2,534.20","2,536.20","2,513.70"
"Aug 19, 2021","2,545.00","2,535.90","2,547.90","2,514.20"
"Aug 18, 2021","2,561.90","2,577.30","2,579.70","2,557.70"
"Aug 17, 2021","2,571.90","2,564.10","2,571.90","2,557.70"
"Aug 16, 2021","2,590.50","2,586.30","2,602.20","2,580.70"
"Aug 13, 2021","2,597.60","2,607.10","2,609.60","2,596.60"
"Aug 12, 2021","2,587.80","2,597.80","2,598.80","2,585.10"
"Aug 11, 2021","2,570.40","2,586.60","2,589.50","2,563.10"
"Aug 10, 2021","2,556.00","2,561.20","2,570.40","2,555.80"
"Aug 09, 2021","2,547.70","2,555.80","2,558.20","2,544.00"
"Aug 06, 2021","2,508.30","2,542.10","2,546.00","2,507.30"
"Aug 05, 2021","2,495.10","2,508.80","2,509.60","2,491.70"
"Aug 04, 2021","2,489.70","2,492.20","2,497.60","2,477.50"
"Aug 03, 2021","2,482.40","2,477.20","2,490.20","2,470.70"
"Aug 02, 2021","2,495.60","2,478.70","2,510.80","2,477.50"
"Jul 30, 2021","2,489.20","2,479.90","2,493.70","2,477.00"
