Date,Open,Close,High,Low
"Oct 01, 2021","1,270.82","1,275.98","1,279.86","1,250.18"
"Sep 30, 2021","1,257.75","1,270.83","1,278.33","1,257.75"
"Sep 29, 2021","1,255.22","1,257.75","1,260.11","1,249.50"
"Sep 28, 2021","1,258.41","1,255.22","1,264.72","1,255.11"
"Sep 27, 2021","1,252.26","1,258.41","1,261.30","1,252.26"
"Sep 24, 2021","1,252.42","1,252.25","1,253.20","1,244.59"
"Sep 23, 2021","1,237.29","1,252.52","1,254.31","1,237.29"
"Sep 22, 2021","1,213.41","1,237.28","1,238.06","1,213.41"
"Sep 21, 2021","1,207.96","1,213.42","1,226.77","1,207.96"
"Sep 20, 2021","1,236.23","1,207.88","1,236.23","1,197.70"
"Sep 17, 2021","1,245.13","1,236.23","1,250.70","1,236.09"
"Sep 16, 2021","1,247.05","1,245.11","1,255.44","1,243.26"
"Sep 15, 2021","1,238.94","1,247.05","1,254.59","1,238.70"
"Sep 14, 2021","1,240.71","1,238.94","1,246.56","1,237.32"
"Sep 13, 2021","1,241.26","1,240.71","1,249.63","1,240.69"
"Sep 10, 2021","1,242.33","1,241.26","1,247.90","1,239.85"
"Sep 09, 2021","1,253.02","1,242.33","1,253.14","1,239.65"
"Sep 08, 2021","1,256.21","1,252.74","1,257.02","1,244.35"
"Sep 07, 2021","1,263.62","1,256.21","1,265.41","1,253.85"
"Sep 06, 2021","1,247.54","1,263.58","1,263.59","1,247.44"
"Sep 03, 2021","1,255.37","1,247.53","1,257.60","1,244.98"
"Sep 02, 2021","1,235.59","1,255.18","1,255.18","1,235.40"
"Sep 01, 2021","1,227.07","1,235.58","1,239.59","1,227.07"
"Aug 31, 2021","1,244.70","1,226.81","1,248.94","1,226.81"
"Aug 30, 2021","1,248.83","1,244.63","1,253.79","1,242.95"
"Aug 27, 2021","1,243.98","1,248.79","1,248.80","1,240.66"
"Aug 26, 2021","1,242.68","1,243.99","1,244.71","1,235.04"
"Aug 25, 2021","1,235.69","1,242.65","1,243.85","1,235.48"
"Aug 24, 2021","1,233.17","1,235.67","1,237.72","1,229.98"
"Aug 23, 2021","1,214.61","1,233.17","1,233.17","1,214.61"
"Aug 20, 2021","1,214.02","1,214.52","1,217.30","1,205.50"
"Aug 19, 2021","1,233.88","1,213.96","1,233.88","1,204.20"
"Aug 18, 2021","1,231.32","1,233.97","1,234.35","1,228.11"
"Aug 17, 2021","1,227.03","1,231.33","1,231.56","1,220.96"
"Aug 16, 2021","1,238.27","1,227.02","1,238.27","1,224.02"
"Aug 13, 2021","1,236.60","1,238.27","1,238.63","1,234.89"
"Aug 12, 2021","1,230.89","1,236.59","1,238.05","1,230.63"
"Aug 11, 2021","1,230.80","1,230.90","1,235.05","1,228.42"
"Aug 10, 2021","1,222.61","1,229.20","1,230.60","1,222.61"
"Aug 09, 2021","1,220.95","1,222.62","1,223.78","1,217.21"
"Aug 06, 2021","1,220.87","1,220.95","1,223.73","1,217.54"
"Aug 05, 2021","1,219.57","1,220.87","1,222.53","1,215.46"
"Aug 04, 2021","1,213.27","1,219.56","1,221.87","1,213.27"
"Aug 03, 2021","1,214.62","1,213.27","1,217.35","1,208.69"
"Aug 02, 2021","1,204.67","1,214.62","1,215.86","1,204.67"
"Jul 30, 2021","1,209.01","1,204.67","1,209.07","1,197.38"
"Jul 29, 2021","1,202.31","1,209.07","1,212.43","1,202.31"
"Jul 28, 2021","1,204.86","1,202.25","1,205.16","1,194.95"
"Jul 27, 2021","1,210.31","1,204.86","1,210.31","1,199.54"
"Jul 26, 2021","1,202.39","1,210.31","1,210.81","1,195.06"
"Jul 23, 2021","1,203.05","1,202.39","1,207.38","1,200.02"
"Jul 22, 2021","1,203.39","1,203.04","1,208.70","1,200.56"
"Jul 21, 2021","1,189.51","1,203.35","1,204.86","1,189.51"
"Jul 20, 2021","1,175.62","1,189.48","1,196.06","1,173.77"
"Jul 19, 2021","1,204.03","1,175.22","1,204.03","1,173.97"
