Date,Open,Close,High,Low
"Oct 01, 2021","30,668.90","30,693.59","30,749.07","30,479.84"
"Sep 30, 2021","30,262.80","30,668.89","30,669.95","29,979.21"
"Sep 29, 2021","30,762.20","30,262.80","30,806.97","30,052.43"
"Sep 28, 2021","30,544.31","30,762.20","30,782.33","30,479.39"
"Sep 27, 2021","30,777.71","30,544.31","30,872.39","30,293.63"
"Sep 24, 2021","30,940.56","30,777.71","30,989.70","30,623.57"
"Sep 23, 2021","31,147.48","30,940.56","31,329.22","30,814.13"
"Sep 22, 2021","31,490.64","31,147.48","31,519.47","30,649.75"
"Sep 21, 2021","31,860.27","31,490.64","32,047.07","31,386.97"
"Sep 20, 2021","32,010.20","31,860.27","32,060.81","31,711.41"
"Sep 17, 2021","32,172.45","32,010.20","32,336.90","31,967.89"
"Sep 16, 2021","32,058.99","32,172.45","32,205.48","32,034.50"
"Sep 15, 2021","32,151.56","32,058.99","32,200.46","31,939.41"
"Sep 14, 2021","32,503.33","32,151.56","32,567.79","32,019.47"
"Sep 13, 2021","32,388.43","32,503.33","32,540.32","32,388.43"
"Sep 10, 2021","32,027.33","32,388.43","32,424.05","32,020.13"
"Sep 09, 2021","31,926.68","32,027.33","32,104.41","31,926.68"
"Sep 08, 2021","32,119.15","31,926.68","32,244.20","31,903.75"
"Sep 07, 2021","32,221.05","32,119.15","32,268.98","32,055.00"
"Sep 06, 2021","32,202.76","32,221.05","32,309.18","32,155.87"
"Sep 03, 2021","32,200.06","32,202.76","32,315.95","32,173.77"
"Sep 02, 2021","32,460.77","32,200.06","32,548.90","32,174.46"
"Sep 01, 2021","32,394.47","32,460.77","32,589.54","32,394.47"
"Aug 31, 2021","32,321.82","32,394.47","32,476.99","32,315.25"
"Aug 30, 2021","32,229.17","32,321.82","32,462.30","32,223.59"
"Aug 27, 2021","32,364.42","32,229.17","32,380.56","32,062.54"
"Aug 26, 2021","32,570.24","32,364.42","32,626.34","32,297.65"
"Aug 25, 2021","32,659.55","32,570.24","32,715.10","32,539.77"
"Aug 24, 2021","32,816.59","32,659.55","32,830.66","32,613.42"
"Aug 23, 2021","32,465.22","32,816.59","32,842.63","32,465.22"
"Aug 20, 2021","32,235.13","32,465.22","32,491.84","32,235.13"
"Aug 17, 2021","32,052.33","32,235.13","32,257.22","32,052.33"
"Aug 16, 2021","32,269.46","32,052.33","32,273.86","31,931.45"
"Aug 13, 2021","32,305.24","32,269.46","32,353.06","32,231.25"
"Aug 12, 2021","32,402.19","32,305.24","32,497.13","32,233.74"
"Aug 11, 2021","32,303.19","32,402.18","32,571.82","32,303.19"
"Aug 10, 2021","32,280.47","32,303.19","32,373.73","32,180.69"
"Aug 09, 2021","32,543.99","32,280.47","32,628.98","32,256.89"
"Aug 06, 2021","32,635.99","32,543.99","32,715.48","32,512.73"
"Aug 05, 2021","32,664.17","32,635.99","32,750.44","32,602.28"
