Date,Open,Close,High,Low
"Oct 01, 2021","4,331.22","4,326.51","4,347.47","4,319.68"
"Sep 30, 2021","4,292.14","4,325.84","4,333.05","4,289.09"
"Sep 29, 2021","4,272.86","4,297.01","4,297.01","4,223.25"
"Sep 28, 2021","4,335.12","4,284.72","4,335.12","4,277.09"
"Sep 27, 2021","4,330.65","4,329.95","4,342.98","4,325.58"
"Sep 24, 2021","4,312.14","4,323.64","4,334.00","4,312.14"
"Sep 23, 2021","4,292.80","4,302.50","4,320.57","4,292.80"
"Sep 22, 2021","4,271.10","4,286.57","4,297.66","4,271.10"
"Sep 21, 2021","4,231.69","4,264.99","4,268.49","4,222.82"
"Sep 20, 2021","4,297.81","4,266.33","4,299.93","4,244.45"
"Sep 17, 2021","4,322.04","4,295.84","4,329.69","4,295.84"
"Sep 16, 2021","4,284.92","4,323.53","4,323.53","4,280.52"
"Sep 15, 2021","4,296.61","4,277.63","4,314.56","4,267.07"
"Sep 14, 2021","4,311.73","4,295.00","4,331.95","4,295.00"
"Sep 13, 2021","4,299.49","4,304.86","4,304.96","4,291.23"
"Sep 10, 2021","4,279.88","4,302.79","4,302.79","4,279.77"
"Sep 09, 2021","4,284.72","4,280.79","4,287.67","4,270.71"
"Sep 08, 2021","4,266.70","4,286.29","4,286.29","4,254.08"
"Sep 07, 2021","4,261.72","4,275.76","4,275.76","4,258.99"
"Sep 06, 2021","4,259.73","4,255.73","4,264.07","4,249.76"
"Sep 03, 2021","4,237.35","4,261.69","4,261.69","4,237.35"
"Sep 02, 2021","4,229.95","4,232.11","4,246.91","4,229.18"
"Sep 01, 2021","4,219.72","4,215.26","4,234.70","4,201.28"
"Aug 31, 2021","4,200.07","4,225.58","4,225.58","4,152.13"
"Aug 27, 2021","4,199.74","4,204.11","4,217.15","4,188.10"
"Aug 26, 2021","4,198.71","4,205.00","4,215.40","4,194.00"
"Aug 25, 2021","4,146.52","4,198.51","4,198.51","4,142.63"
"Aug 24, 2021","4,125.50","4,144.88","4,144.88","4,122.72"
"Aug 23, 2021","4,135.15","4,110.96","4,142.53","4,110.96"
"Aug 20, 2021","4,143.68","4,123.72","4,160.74","4,123.72"
"Aug 19, 2021","4,119.56","4,141.63","4,141.63","4,096.42"
"Aug 18, 2021","4,076.70","4,118.41","4,118.41","4,076.70"
"Aug 17, 2021","4,053.78","4,072.47","4,080.15","4,053.00"
"Aug 16, 2021","4,011.41","4,053.16","4,053.16","3,998.84"
"Aug 13, 2021","4,060.21","3,976.94","4,067.51","3,976.94"
"Aug 12, 2021","4,103.94","4,059.93","4,103.94","4,058.24"
"Aug 11, 2021","4,100.11","4,111.61","4,111.61","4,099.62"
"Aug 10, 2021","4,098.04","4,095.98","4,098.04","4,080.04"
"Aug 09, 2021","4,057.76","4,093.87","4,093.87","4,052.84"
"Aug 06, 2021","4,042.09","4,055.42","4,064.50","4,042.09"
"Aug 05, 2021","4,069.47","4,042.57","4,069.47","4,038.07"
"Aug 04, 2021","4,049.41","4,059.59","4,062.85","4,041.40"
"Aug 03, 2021","3,986.89","4,040.82","4,040.82","3,966.70"
"Aug 02, 2021","3,943.08","3,985.27","3,985.27","3,933.26"
"Jul 30, 2021","4,053.84","3,934.86","4,053.99","3,934.86"
"Jul 29, 2021","4,005.70","4,042.03","4,050.38","4,001.07"
"Jul 28, 2021","4,037.97","4,010.09","4,037.97","3,972.94"
"Jul 27, 2021","3,977.55","4,039.75","4,039.75","3,977.55"
"Jul 26, 2021","4,036.49","3,965.15","4,036.49","3,965.15"
"Jul 23, 2021","4,084.83","4,038.51","4,088.27","4,007.94"
"Jul 22, 2021","4,037.99","4,074.94","4,080.74","4,037.99"
"Jul 21, 2021","4,088.37","4,031.00","4,089.40","4,010.68"
"Jul 19, 2021","4,123.17","4,084.55","4,123.17","4,036.67"
"Jul 16, 2021","4,190.57","4,137.94","4,205.77","4,112.42"
"Jul 15, 2021","4,225.14","4,183.02","4,227.74","4,183.02"
"Jul 14, 2021","4,221.46","4,227.48","4,227.48","4,203.58"
"Jul 13, 2021","4,268.94","4,215.76","4,268.94","4,215.76"
"Jul 12, 2021","4,237.47","4,270.02","4,270.02","4,237.47"
"Jul 09, 2021","4,264.99","4,234.54","4,264.99","4,195.36"
"Jul 08, 2021","4,274.30","4,274.66","4,283.78","4,262.59"
"Jul 07, 2021","4,302.93","4,272.16","4,302.93","4,260.43"
"Jul 06, 2021","4,328.65","4,298.66","4,331.73","4,295.04"
"Jul 05, 2021","4,294.19","4,315.61","4,315.61","4,294.12"
"Jul 02, 2021","4,281.49","4,294.97","4,294.97","4,277.82"
"Jul 01, 2021","4,264.91","4,275.43","4,286.44","4,263.23"
"Jun 30, 2021","4,257.33","4,244.58","4,264.03","4,244.16"
"Jun 29, 2021","4,249.63","4,262.37","4,262.37","4,245.39"
"Jun 28, 2021","4,235.49","4,244.61","4,244.61","4,220.34"
"Jun 25, 2021","4,206.17","4,229.58","4,229.58","4,206.17"
"Jun 24, 2021","4,207.86","4,199.89","4,211.07","4,199.89"
"Jun 23, 2021","4,187.48","4,203.59","4,203.59","4,187.48"
"Jun 22, 2021","4,160.58","4,182.90","4,197.95","4,160.58"
"Jun 21, 2021","4,162.98","4,154.74","4,162.98","4,134.27"
"Jun 18, 2021","4,182.57","4,166.90","4,187.85","4,146.79"
"Jun 17, 2021","4,222.20","4,184.96","4,224.56","4,180.09"
"Jun 16, 2021","4,217.48","4,221.80","4,236.18","4,217.48"
"Jun 15, 2021","4,189.46","4,222.88","4,222.88","4,178.91"
"Jun 14, 2021","4,173.18","4,191.36","4,191.36","4,167.37"
"Jun 11, 2021","4,161.48","4,174.65","4,174.65","4,154.48"
"Jun 10, 2021","4,173.10","4,154.36","4,175.40","4,154.36"
"Jun 09, 2021","4,120.19","4,160.21","4,167.91","4,117.25"
"Jun 08, 2021","4,105.97","4,117.13","4,117.13","4,100.26"
"Jun 07, 2021","4,116.21","4,099.62","4,116.21","4,099.08"
"Jun 04, 2021","4,103.86","4,108.59","4,116.76","4,091.70"
"Jun 03, 2021","4,118.46","4,104.02","4,119.33","4,090.88"
"Jun 02, 2021","4,024.54","4,117.98","4,117.98","4,024.54"
"Jun 01, 2021","4,021.80","4,023.30","4,029.83","4,003.06"
"May 31, 2021","4,042.80","4,022.83","4,053.87","4,005.56"
"May 28, 2021","4,024.84","4,047.48","4,052.15","4,018.46"
"May 27, 2021","3,913.28","4,034.92","4,034.92","3,910.54"
"May 26, 2021","3,845.96","3,899.39","3,913.20","3,842.11"
"May 25, 2021","3,819.98","3,834.78","3,834.78","3,815.79"
"May 24, 2021","3,840.78","3,821.27","3,844.01","3,817.80"
"May 21, 2021","3,841.44","3,842.73","3,848.22","3,828.05"
"May 20, 2021","3,858.50","3,840.31","3,858.50","3,839.40"
"May 19, 2021","3,857.17","3,852.90","3,860.30","3,834.66"
"May 18, 2021","3,844.60","3,847.39","3,851.70","3,823.84"
"May 17, 2021","3,837.92","3,861.41","3,861.41","3,825.09"
"May 14, 2021","3,858.42","3,850.98","3,858.42","3,769.69"
"May 12, 2021","3,902.16","3,858.00","3,902.16","3,853.62"
"May 11, 2021","3,900.61","3,907.96","3,919.38","3,888.13"
"May 10, 2021","3,885.78","3,906.71","3,908.87","3,885.78"
"May 07, 2021","3,880.00","3,877.43","3,893.35","3,873.26"
"May 06, 2021","3,890.01","3,879.65","3,896.80","3,859.02"
"May 05, 2021","3,906.56","3,882.43","3,906.56","3,882.43"
"May 04, 2021","3,933.85","3,906.82","3,935.87","3,903.85"
"May 03, 2021","3,932.98","3,923.00","3,944.64","3,923.00"
"Apr 30, 2021","3,963.86","3,923.03","3,964.30","3,923.03"
"Apr 29, 2021","3,955.01","3,967.96","3,967.96","3,941.24"
"Apr 28, 2021","3,922.35","3,957.50","3,957.50","3,920.37"
"Apr 27, 2021","3,929.29","3,910.32","3,933.04","3,910.32"
"Apr 26, 2021","3,943.76","3,930.28","3,943.76","3,909.24"
"Apr 23, 2021","3,950.90","3,927.19","3,950.90","3,920.01"
"Apr 22, 2021","3,969.58","3,947.41","3,969.58","3,928.07"
"Apr 21, 2021","3,987.12","3,964.34","3,987.48","3,964.34"
"Apr 20, 2021","3,973.67","3,988.83","3,988.83","3,969.01"
"Apr 19, 2021","3,984.92","3,969.02","3,984.92","3,968.11"
"Apr 16, 2021","3,997.36","3,981.51","3,997.67","3,977.72"
"Apr 15, 2021","3,981.33","3,997.58","3,997.58","3,956.73"
"Apr 14, 2021","3,961.69","3,984.62","3,984.62","3,952.96"
"Apr 13, 2021","3,990.94","3,953.81","3,990.94","3,940.07"
"Apr 12, 2021","4,005.05","3,988.25","4,005.29","3,978.97"
"Apr 08, 2021","4,044.65","3,998.64","4,044.65","3,995.81"
"Apr 07, 2021","4,004.64","4,044.94","4,044.94","3,998.34"
"Apr 06, 2021","3,963.55","4,003.00","4,003.00","3,962.37"
"Apr 05, 2021","3,927.45","3,947.46","3,953.50","3,926.77"
"Mar 31, 2021","3,970.79","3,924.29","3,971.80","3,924.29"
"Mar 30, 2021","3,981.04","3,965.86","3,986.48","3,944.38"
"Mar 29, 2021","3,922.40","3,988.09","4,009.67","3,894.84"
"Mar 26, 2021","3,976.32","3,967.79","3,978.90","3,958.72"
"Mar 25, 2021","3,937.12","3,976.83","3,981.01","3,937.12"
"Mar 24, 2021","3,906.63","3,934.93","3,934.93","3,888.22"
"Mar 23, 2021","3,888.55","3,913.32","3,913.32","3,888.55"
"Mar 22, 2021","3,876.71","3,887.71","3,903.92","3,844.03"
"Mar 19, 2021","4,006.15","3,909.41","4,009.99","3,909.41"
"Mar 18, 2021","3,969.79","4,005.09","4,022.06","3,969.79"
"Mar 17, 2021","3,963.47","3,964.78","3,972.23","3,954.93"
"Mar 16, 2021","3,936.03","3,954.15","3,971.98","3,930.73"
"Mar 15, 2021","4,040.83","3,949.87","4,040.83","3,921.64"
"Mar 12, 2021","4,062.18","4,059.58","4,067.22","4,039.18"
"Mar 11, 2021","4,074.44","4,050.43","4,074.44","4,032.81"
"Mar 10, 2021","4,069.05","4,078.35","4,088.62","4,053.81"
"Mar 09, 2021","4,067.31","4,074.95","4,075.87","4,022.45"
"Mar 08, 2021","4,158.83","4,079.40","4,158.83","4,070.72"
"Mar 05, 2021","4,155.48","4,158.54","4,163.21","4,136.81"
"Mar 04, 2021","4,175.34","4,163.22","4,175.34","4,144.77"
"Mar 03, 2021","4,180.40","4,186.76","4,186.76","4,157.70"
"Mar 02, 2021","4,165.33","4,179.92","4,179.92","4,154.28"
"Mar 01, 2021","4,137.15","4,165.40","4,165.40","4,126.21"
"Feb 26, 2021","4,081.96","4,120.30","4,129.11","4,058.78"
"Feb 24, 2021","4,138.33","4,100.16","4,138.33","4,076.55"
"Feb 23, 2021","4,150.07","4,141.72","4,150.07","4,104.53"
"Feb 22, 2021","4,191.07","4,155.23","4,193.26","4,155.23"
"Feb 19, 2021","4,177.75","4,199.00","4,199.00","4,160.81"
"Feb 18, 2021","4,208.46","4,170.48","4,215.37","4,170.48"
"Feb 17, 2021","4,229.28","4,213.53","4,230.81","4,190.46"
"Feb 16, 2021","4,213.81","4,248.84","4,248.84","4,213.81"
"Feb 15, 2021","4,233.72","4,207.66","4,241.74","4,207.66"
"Feb 11, 2021","4,254.60","4,222.96","4,260.74","4,222.96"
"Feb 10, 2021","4,257.50","4,260.81","4,288.09","4,254.02"
"Feb 09, 2021","4,230.89","4,249.93","4,259.77","4,230.89"
"Feb 08, 2021","4,213.72","4,232.57","4,232.57","4,199.82"
"Feb 05, 2021","4,167.00","4,216.80","4,216.80","4,142.14"
"Feb 04, 2021","4,147.18","4,165.33","4,165.33","4,121.76"
"Feb 03, 2021","4,162.46","4,143.26","4,166.60","4,123.56"
"Feb 02, 2021","4,114.65","4,144.17","4,154.06","4,114.51"
"Feb 01, 2021","4,022.37","4,103.67","4,103.67","4,022.37"
"Jan 29, 2021","4,099.08","4,007.33","4,099.20","4,007.33"
"Jan 28, 2021","4,101.71","4,108.34","4,147.72","4,083.86"
"Jan 27, 2021","4,151.13","4,131.32","4,152.40","4,093.56"
"Jan 26, 2021","4,236.29","4,168.96","4,236.29","4,165.50"
"Jan 25, 2021","4,236.65","4,250.65","4,250.65","4,226.13"
"Jan 22, 2021","4,268.79","4,241.69","4,271.28","4,223.03"
"Jan 21, 2021","4,308.44","4,280.98","4,308.44","4,262.18"
"Jan 20, 2021","4,310.60","4,300.12","4,313.40","4,269.42"
"Jan 19, 2021","4,304.19","4,319.74","4,319.74","4,289.02"
"Jan 18, 2021","4,338.63","4,321.30","4,338.63","4,293.78"
"Jan 15, 2021","4,359.33","4,342.48","4,363.63","4,342.48"
"Jan 14, 2021","4,307.51","4,350.94","4,362.89","4,297.40"
"Jan 13, 2021","4,337.99","4,334.93","4,350.37","4,329.07"
"Jan 12, 2021","4,384.15","4,337.76","4,384.15","4,337.23"
"Jan 11, 2021","4,360.47","4,373.33","4,421.01","4,357.90"
"Jan 08, 2021","4,274.58","4,354.27","4,354.27","4,274.58"
"Jan 07, 2021","4,234.33","4,271.49","4,271.49","4,224.13"
"Jan 06, 2021","4,274.82","4,230.14","4,274.82","4,161.99"
"Jan 05, 2021","4,315.99","4,273.94","4,315.99","4,265.74"
"Jan 04, 2021","4,279.34","4,317.16","4,317.16","4,276.55"
"Dec 29, 2020","4,255.49","4,272.61","4,282.18","4,254.94"
"Dec 28, 2020","4,265.79","4,254.27","4,265.79","4,214.48"
"Dec 23, 2020","4,272.84","4,294.45","4,297.21","4,228.48"
"Dec 22, 2020","4,317.23","4,290.14","4,317.23","4,231.27"
"Dec 21, 2020","4,341.34","4,326.34","4,342.21","4,300.53"
"Dec 18, 2020","4,345.01","4,349.35","4,351.23","4,324.65"
"Dec 17, 2020","4,343.60","4,350.29","4,350.29","4,329.33"
"Dec 16, 2020","4,331.15","4,350.45","4,350.45","4,312.76"
"Dec 15, 2020","4,342.61","4,321.01","4,346.32","4,316.99"
"Dec 14, 2020","4,323.64","4,338.51","4,358.15","4,314.77"
"Dec 11, 2020","4,286.91","4,318.73","4,338.03","4,285.53"
"Dec 10, 2020","4,261.29","4,270.92","4,274.41","4,259.98"
"Dec 09, 2020","4,283.78","4,253.13","4,302.40","4,253.13"
"Dec 07, 2020","4,267.74","4,286.05","4,286.05","4,258.51"
"Dec 04, 2020","4,274.18","4,250.37","4,277.56","4,232.92"
"Dec 03, 2020","4,225.16","4,273.25","4,273.25","4,199.14"
"Dec 02, 2020","4,208.50","4,222.09","4,222.09","4,191.66"
"Dec 01, 2020","4,080.29","4,199.67","4,199.67","4,080.29"
"Nov 27, 2020","4,123.88","4,100.28","4,135.13","4,098.90"
"Nov 26, 2020","4,180.42","4,138.09","4,180.42","4,100.84"
"Nov 25, 2020","4,240.83","4,184.28","4,249.80","4,179.19"
"Nov 24, 2020","4,277.81","4,228.55","4,285.60","4,180.79"
"Nov 23, 2020","4,226.47","4,254.26","4,292.22","4,224.33"
"Nov 20, 2020","4,142.02","4,219.39","4,219.39","4,141.41"
"Nov 19, 2020","4,133.73","4,127.54","4,133.73","4,117.27"
"Nov 18, 2020","4,110.83","4,144.87","4,144.87","4,109.11"
"Nov 17, 2020","4,090.59","4,103.74","4,106.47","4,082.81"
"Nov 16, 2020","4,097.58","4,073.37","4,099.34","4,049.16"
"Nov 13, 2020","4,067.97","4,083.55","4,085.93","4,065.21"
"Nov 12, 2020","4,073.58","4,102.80","4,122.32","4,061.17"
"Nov 11, 2020","4,073.58","4,102.80","4,122.32","4,061.17"
"Nov 10, 2020","4,006.84","4,096.47","4,096.47","4,006.84"
"Nov 09, 2020","3,943.29","3,961.12","3,961.12","3,925.00"
"Nov 06, 2020","3,942.15","3,944.72","3,948.74","3,889.42"
"Nov 05, 2020","3,854.87","3,919.31","3,940.15","3,854.87"
"Nov 04, 2020","3,808.82","3,848.61","3,848.61","3,793.34"
"Nov 03, 2020","3,765.50","3,789.47","3,795.18","3,755.66"
"Oct 30, 2020","3,747.51","3,779.57","3,781.22","3,736.44"
