Date,Open,Close,High,Low
"Oct 01, 2021","4,078.59","4,086.99","4,104.78","4,065.40"
"Sep 30, 2021","4,079.46","4,103.52","4,106.72","4,064.50"
"Sep 29, 2021","4,045.16","4,058.37","4,076.61","4,038.06"
"Sep 28, 2021","4,109.66","4,065.46","4,112.31","4,050.95"
"Sep 27, 2021","4,069.55","4,081.22","4,083.61","4,061.71"
"Sep 24, 2021","4,055.37","4,038.23","4,057.09","4,017.20"
"Sep 23, 2021","4,051.36","4,052.14","4,058.15","4,020.50"
"Sep 22, 2021","4,001.79","4,030.98","4,032.38","3,999.82"
"Sep 21, 2021","3,980.02","3,970.48","3,994.56","3,962.05"
"Sep 20, 2021","3,988.45","3,969.61","3,991.39","3,955.19"
"Sep 17, 2021","4,043.51","4,035.17","4,054.38","4,013.62"
"Sep 16, 2021","4,069.19","4,045.10","4,073.72","4,028.08"
"Sep 15, 2021","4,059.08","4,065.53","4,081.98","4,049.69"
"Sep 14, 2021","4,051.81","4,055.70","4,061.99","4,037.23"
"Sep 13, 2021","4,012.97","4,041.16","4,041.83","4,001.63"
"Sep 10, 2021","3,993.53","4,002.66","4,008.56","3,987.53"
"Sep 09, 2021","4,007.82","3,993.56","4,009.66","3,982.60"
"Sep 08, 2021","4,015.35","4,017.37","4,030.72","3,984.64"
"Sep 07, 2021","4,036.41","4,010.16","4,043.51","4,004.90"
"Sep 06, 2021","4,004.61","4,028.25","4,028.25","4,001.70"
"Sep 03, 2021","3,976.62","4,001.70","4,001.70","3,964.22"
"Sep 02, 2021","3,983.68","3,990.77","3,994.77","3,968.06"
"Sep 01, 2021","3,924.32","3,971.02","3,972.68","3,918.96"
"Aug 31, 2021","3,934.10","3,918.96","3,938.68","3,904.72"
"Aug 30, 2021","3,900.96","3,928.50","3,928.50","3,887.38"
"Aug 27, 2021","3,864.11","3,887.38","3,887.38","3,844.49"
"Aug 26, 2021","3,876.99","3,851.57","3,886.64","3,838.63"
"Aug 25, 2021","3,891.80","3,886.64","3,895.62","3,868.64"
"Aug 24, 2021","3,897.56","3,888.87","3,904.99","3,864.37"
"Aug 23, 2021","3,861.99","3,883.01","3,884.51","3,832.70"
"Aug 20, 2021","3,868.79","3,832.70","3,871.43","3,826.27"
"Aug 19, 2021","3,883.20","3,853.98","3,925.17","3,841.15"
"Aug 18, 2021","3,948.43","3,925.17","3,949.07","3,912.24"
"Aug 17, 2021","3,893.85","3,943.01","3,944.37","3,893.44"
"Aug 16, 2021","3,862.32","3,895.31","3,896.96","3,855.62"
"Aug 13, 2021","3,882.62","3,873.00","3,895.05","3,866.67"
