Date,Open,Close,High,Low
"Sep 30, 2021","11,388.12","11,495.76","11,495.76","11,379.61"
"Sep 29, 2021","11,363.01","11,383.65","11,390.53","11,331.35"
"Sep 28, 2021","11,383.72","11,382.41","11,444.20","11,355.83"
"Sep 27, 2021","11,366.55","11,369.09","11,391.32","11,333.48"
"Sep 26, 2021","11,342.94","11,352.86","11,370.83","11,323.12"
"Sep 22, 2021","11,311.15","11,270.57","11,345.43","11,270.57"
"Sep 21, 2021","11,284.49","11,315.81","11,354.53","11,239.29"
"Sep 20, 2021","11,370.58","11,328.33","11,372.66","11,293.66"
"Sep 19, 2021","11,424.20","11,397.84","11,434.98","11,371.22"
"Sep 16, 2021","11,409.92","11,422.11","11,435.57","11,378.08"
"Sep 15, 2021","11,382.46","11,410.98","11,414.58","11,358.61"
"Sep 14, 2021","11,394.42","11,373.18","11,418.70","11,357.22"
"Sep 13, 2021","11,343.27","11,386.38","11,386.38","11,294.72"
"Sep 12, 2021","11,424.40","11,342.85","11,428.09","11,325.60"
"Sep 09, 2021","11,446.05","11,417.79","11,450.78","11,397.65"
"Sep 08, 2021","11,425.54","11,455.65","11,455.65","11,408.30"
"Sep 07, 2021","11,416.58","11,414.34","11,458.68","11,402.92"
"Sep 06, 2021","11,336.74","11,407.91","11,407.91","11,332.93"
"Sep 05, 2021","11,324.38","11,335.92","11,346.87","11,315.71"
"Sep 02, 2021","11,300.76","11,319.87","11,324.09","11,285.01"
"Sep 01, 2021","11,315.66","11,310.54","11,327.88","11,292.74"
"Aug 31, 2021","11,253.82","11,319.24","11,319.24","11,251.63"
"Aug 30, 2021","11,195.48","11,255.05","11,255.05","11,169.83"
"Aug 29, 2021","11,141.95","11,180.19","11,180.19","11,138.77"
"Aug 26, 2021","11,169.27","11,128.59","11,169.54","11,104.03"
"Aug 25, 2021","11,153.24","11,156.63","11,183.11","11,103.23"
"Aug 24, 2021","11,092.11","11,141.03","11,141.03","11,057.57"
"Aug 23, 2021","11,090.76","11,062.99","11,179.24","11,032.67"
"Aug 22, 2021","11,191.11","11,076.55","11,213.56","11,049.05"
"Aug 19, 2021","11,305.12","11,201.64","11,305.22","11,164.89"
"Aug 18, 2021","11,391.31","11,344.94","11,402.65","11,308.31"
"Aug 17, 2021","11,310.09","11,392.83","11,392.83","11,270.85"
"Aug 16, 2021","11,341.49","11,321.85","11,384.89","11,312.08"
"Aug 15, 2021","11,314.71","11,351.63","11,354.22","11,295.43"
"Aug 12, 2021","11,326.86","11,323.70","11,391.58","11,270.50"
"Aug 11, 2021","11,299.41","11,325.10","11,348.66","11,292.19"
"Aug 10, 2021","11,200.80","11,299.87","11,299.87","11,198.33"
"Aug 09, 2021","11,215.37","11,197.97","11,225.30","11,174.61"
"Aug 08, 2021","11,202.59","11,215.33","11,235.41","11,191.77"
"Aug 05, 2021","11,155.34","11,209.42","11,209.42","11,066.77"
"Aug 04, 2021","11,206.21","11,162.38","11,210.54","11,128.71"
"Aug 03, 2021","11,151.66","11,208.76","11,208.76","11,123.50"
"Aug 02, 2021","11,091.66","11,157.02","11,157.02","11,091.66"
"Aug 01, 2021","11,041.85","11,066.93","11,100.03","11,033.71"
"Jul 29, 2021","10,939.51","11,012.71","11,012.71","10,921.11"
"Jul 28, 2021","10,911.05","10,933.73","10,948.81","10,905.02"
"Jul 27, 2021","10,899.75","10,916.67","10,927.70","10,887.34"
"Jul 26, 2021","10,920.55","10,897.87","10,923.11","10,841.99"
"Jul 25, 2021","10,867.22","10,876.36","10,955.97","10,867.22"
"Jul 15, 2021","10,792.03","10,794.51","10,873.82","10,782.74"
"Jul 14, 2021","10,734.27","10,778.07","10,802.04","10,721.09"
"Jul 13, 2021","10,707.60","10,735.85","10,767.84","10,690.68"
"Jul 12, 2021","10,670.05","10,698.54","10,766.35","10,589.38"
"Jul 11, 2021","10,871.24","10,688.34","10,883.32","10,659.12"
"Jul 08, 2021","10,946.67","10,825.01","10,946.78","10,814.90"
"Jul 07, 2021","10,953.35","10,958.55","10,967.35","10,904.90"
"Jul 06, 2021","11,002.77","10,971.21","11,020.99","10,971.21"
"Jul 05, 2021","11,031.33","11,001.03","11,043.25","10,955.75"
"Jul 04, 2021","10,993.75","11,031.73","11,063.86","10,993.59"
"Jul 01, 2021","10,987.13","10,979.05","11,006.66","10,968.11"
"Jun 30, 2021","11,002.74","10,984.15","11,009.70","10,940.44"
"Jun 29, 2021","10,963.93","10,996.38","10,996.38","10,934.73"
"Jun 28, 2021","10,981.20","10,957.07","10,985.79","10,939.69"
"Jun 27, 2021","10,926.64","10,966.71","10,990.14","10,925.30"
"Jun 24, 2021","10,913.06","10,919.68","10,932.73","10,895.66"
"Jun 23, 2021","10,922.57","10,894.20","10,935.89","10,881.28"
"Jun 22, 2021","10,874.08","10,891.64","10,916.90","10,873.95"
"Jun 21, 2021","10,777.96","10,859.18","10,872.90","10,745.92"
"Jun 20, 2021","10,858.15","10,790.75","10,863.73","10,770.63"
"Jun 17, 2021","10,862.49","10,853.12","10,894.61","10,847.31"
"Jun 16, 2021","10,848.73","10,855.95","10,870.13","10,811.08"
"Jun 15, 2021","10,918.19","10,831.38","10,932.82","10,816.73"
"Jun 14, 2021","10,908.89","10,913.56","10,989.61","10,844.63"
"Jun 13, 2021","10,825.72","10,897.47","10,903.42","10,816.87"
"Jun 10, 2021","10,796.99","10,796.33","10,839.24","10,780.47"
"Jun 09, 2021","10,749.78","10,790.24","10,790.24","10,746.95"
"Jun 08, 2021","10,719.30","10,735.39","10,753.71","10,599.15"
"Jun 07, 2021","10,689.92","10,719.85","10,719.85","10,681.94"
"Jun 06, 2021","10,705.47","10,685.45","10,743.26","10,676.95"
"Jun 03, 2021","10,657.78","10,698.30","10,700.84","10,648.23"
"Jun 02, 2021","10,617.28","10,656.81","10,680.20","10,610.29"
"Jun 01, 2021","10,560.85","10,597.42","10,644.34","10,552.67"
"May 31, 2021","10,561.46","10,551.23","10,569.50","10,514.97"
"May 30, 2021","10,529.76","10,547.67","10,571.98","10,519.24"
"May 27, 2021","10,472.41","10,519.52","10,519.52","10,461.53"
"May 26, 2021","10,452.61","10,471.55","10,490.16","10,447.57"
"May 25, 2021","10,331.98","10,448.00","10,448.00","10,331.98"
"May 24, 2021","10,349.62","10,318.51","10,375.51","10,318.51"
"May 23, 2021","10,352.67","10,343.86","10,367.67","10,307.83"
"May 20, 2021","10,369.58","10,339.85","10,381.15","10,313.11"
"May 19, 2021","10,427.04","10,372.54","10,431.19","10,360.29"
"May 18, 2021","10,424.23","10,423.51","10,492.97","10,401.38"
"May 17, 2021","10,332.98","10,396.44","10,413.19","10,318.47"
"May 10, 2021","10,235.72","10,322.68","10,322.68","10,233.15"
"May 09, 2021","10,244.86","10,228.19","10,273.28","10,209.91"
"May 06, 2021","10,254.88","10,228.35","10,258.27","10,170.53"
"May 05, 2021","10,324.70","10,252.15","10,332.38","10,252.15"
"May 04, 2021","10,320.96","10,318.94","10,354.03","10,253.32"
"May 03, 2021","10,381.40","10,309.37","10,386.34","10,309.37"
"May 02, 2021","10,406.06","10,365.51","10,416.48","10,330.72"
"Apr 29, 2021","10,493.64","10,418.98","10,503.33","10,382.49"
"Apr 28, 2021","10,328.49","10,531.22","10,540.17","10,308.60"
"Apr 27, 2021","10,226.35","10,267.17","10,267.17","10,205.03"
"Apr 26, 2021","10,155.11","10,231.06","10,231.06","10,139.97"
"Apr 25, 2021","10,139.08","10,142.48","10,173.30","10,128.99"
"Apr 22, 2021","10,109.59","10,134.08","10,136.66","10,092.22"
"Apr 21, 2021","10,127.94","10,095.36","10,142.16","10,095.36"
"Apr 20, 2021","10,097.01","10,116.98","10,125.57","10,086.86"
"Apr 19, 2021","10,062.16","10,097.65","10,097.65","10,007.38"
"Apr 18, 2021","10,009.61","10,048.70","10,065.05","10,006.10"
"Apr 15, 2021","9,863.29","9,987.92","9,987.92","9,862.29"
"Apr 14, 2021","9,820.03","9,847.62","9,847.62","9,767.01"
"Apr 13, 2021","9,911.53","9,838.28","9,922.00","9,838.28"
"Apr 12, 2021","9,927.02","9,907.62","9,929.65","9,846.57"
"Apr 11, 2021","10,010.59","9,938.32","10,015.76","9,921.27"
"Apr 08, 2021","10,011.35","10,012.13","10,039.23","9,977.15"
"Apr 07, 2021","9,992.51","10,014.30","10,030.35","9,979.16"
"Apr 06, 2021","9,965.18","9,988.98","9,995.84","9,958.93"
"Apr 05, 2021","9,969.51","9,964.84","9,984.14","9,939.60"
"Apr 04, 2021","9,891.10","9,962.77","9,986.16","9,862.77"
"Apr 01, 2021","9,908.07","9,895.56","9,938.50","9,869.47"
"Mar 31, 2021","9,810.52","9,907.82","9,909.64","9,762.37"
