Date,Open,Close,High,Low
"Oct 01, 2021","57,863.40","57,265.62","57,863.40","57,216.55"
"Sep 30, 2021","58,022.33","57,863.40","58,339.34","57,863.40"
"Sep 29, 2021","57,462.19","58,022.33","58,022.33","57,373.41"
"Sep 28, 2021","57,784.27","57,462.19","57,925.48","57,241.44"
"Sep 27, 2021","57,642.54","57,784.27","58,282.73","57,642.54"
"Sep 23, 2021","56,938.31","57,642.54","57,691.43","56,933.00"
"Sep 22, 2021","56,085.63","56,938.31","57,163.24","56,085.63"
"Sep 21, 2021","55,246.07","56,085.63","56,399.56","55,246.07"
"Sep 20, 2021","56,605.25","55,246.07","56,605.25","54,682.22"
"Sep 17, 2021","57,098.19","56,605.25","57,403.67","56,605.25"
"Sep 16, 2021","58,229.94","57,098.19","58,229.94","56,947.91"
"Sep 15, 2021","58,115.08","58,229.94","58,308.23","57,633.70"
"Sep 14, 2021","58,494.78","58,115.08","58,504.55","57,742.77"
"Sep 13, 2021","58,175.75","58,494.78","58,694.54","57,944.04"
"Sep 10, 2021","58,020.55","58,175.75","58,555.17","58,020.55"
"Sep 09, 2021","59,378.55","58,020.55","59,378.55","57,848.72"
"Sep 08, 2021","60,340.77","59,378.55","60,341.45","59,308.16"
"Sep 07, 2021","60,035.80","60,340.77","60,535.05","60,035.80"
"Sep 06, 2021","60,106.72","60,035.80","60,507.39","59,817.03"
"Sep 03, 2021","60,357.49","60,106.72","60,703.25","59,930.75"
"Sep 02, 2021","60,612.64","60,357.49","60,673.32","60,042.92"
"Sep 01, 2021","61,039.26","60,612.64","61,499.75","60,460.55"
"Aug 31, 2021","60,750.09","61,039.26","61,282.36","60,750.09"
"Aug 30, 2021","61,393.15","60,750.09","61,473.84","60,704.00"
"Aug 27, 2021","60,854.92","61,393.15","61,425.83","60,813.31"
"Aug 26, 2021","61,212.12","60,854.92","61,212.12","60,734.51"
"Aug 25, 2021","61,180.29","61,212.12","61,261.31","60,923.60"
"Aug 24, 2021","60,562.05","61,180.29","61,359.17","60,562.05"
"Aug 23, 2021","59,800.02","60,562.05","60,760.84","59,800.02"
