Date,Open,Close,High,Low
"Oct 01, 2021","11,491.08","11,575.37","11,581.93","11,450.66"
"Sep 30, 2021","11,726.42","11,642.45","11,734.61","11,586.30"
"Sep 29, 2021","11,592.99","11,628.33","11,656.36","11,571.00"
"Sep 28, 2021","11,652.24","11,485.58","11,663.46","11,465.59"
"Sep 27, 2021","11,880.51","11,691.18","11,881.61","11,691.18"
"Sep 24, 2021","11,907.82","11,817.20","11,928.51","11,805.51"
"Sep 23, 2021","11,930.68","11,938.62","11,978.42","11,905.00"
"Sep 22, 2021","11,855.57","11,837.57","11,876.89","11,797.99"
"Sep 21, 2021","11,793.81","11,789.17","11,845.88","11,765.44"
"Sep 20, 2021","11,787.18","11,766.42","11,818.42","11,643.42"
"Sep 17, 2021","12,116.64","11,935.53","12,128.71","11,929.61"
"Sep 16, 2021","12,031.16","12,028.44","12,099.26","12,024.67"
"Sep 15, 2021","12,091.60","11,984.83","12,091.60","11,977.99"
"Sep 14, 2021","12,077.40","12,097.28","12,129.73","12,053.20"
"Sep 13, 2021","12,088.63","12,074.81","12,168.52","12,074.81"
"Sep 10, 2021","12,128.27","12,060.64","12,158.93","12,049.94"
"Sep 09, 2021","12,157.67","12,116.43","12,189.68","12,108.19"
"Sep 08, 2021","12,251.04","12,215.14","12,255.89","12,155.63"
"Sep 07, 2021","12,420.33","12,344.38","12,420.33","12,322.68"
"Sep 06, 2021","12,383.26","12,430.23","12,448.45","12,378.92"
"Sep 03, 2021","12,432.04","12,351.84","12,436.21","12,296.12"
"Sep 02, 2021","12,440.52","12,432.46","12,469.27","12,424.75"
"Sep 01, 2021","12,472.04","12,432.79","12,491.18","12,415.80"
"Aug 31, 2021","12,457.44","12,411.11","12,494.65","12,398.34"
"Aug 30, 2021","12,419.87","12,436.58","12,444.59","12,404.35"
"Aug 27, 2021","12,390.42","12,439.00","12,453.12","12,381.79"
"Aug 26, 2021","12,344.49","12,409.03","12,424.25","12,329.77"
"Aug 25, 2021","12,436.54","12,364.57","12,447.42","12,325.81"
"Aug 24, 2021","12,505.97","12,436.66","12,524.10","12,409.13"
"Aug 23, 2021","12,483.91","12,476.87","12,490.51","12,423.73"
"Aug 20, 2021","12,409.92","12,415.66","12,427.30","12,327.29"
"Aug 19, 2021","12,453.11","12,403.58","12,453.61","12,296.95"
"Aug 18, 2021","12,458.37","12,545.35","12,573.43","12,456.92"
"Aug 17, 2021","12,412.01","12,477.44","12,496.95","12,392.66"
"Aug 16, 2021","12,431.53","12,419.14","12,442.78","12,376.06"
"Aug 13, 2021","12,452.00","12,464.44","12,478.66","12,442.07"
"Aug 12, 2021","12,412.41","12,429.17","12,443.59","12,405.81"
"Aug 11, 2021","12,385.44","12,387.90","12,426.15","12,361.49"
"Aug 10, 2021","12,305.46","12,361.69","12,382.71","12,305.30"
"Aug 09, 2021","12,211.71","12,310.75","12,321.37","12,211.52"
"Aug 06, 2021","12,198.40","12,176.30","12,215.58","12,149.68"
"Aug 05, 2021","12,185.87","12,199.82","12,211.63","12,167.24"
"Aug 04, 2021","12,201.97","12,178.74","12,214.19","12,169.89"
"Aug 03, 2021","12,170.14","12,163.22","12,215.62","12,139.81"
"Aug 02, 2021","12,165.21","12,171.02","12,194.37","12,124.36"
"Jul 30, 2021","12,005.91","12,116.82","12,146.68","11,998.58"
"Jul 29, 2021","12,033.54","12,086.74","12,115.56","12,024.37"
"Jul 28, 2021","12,055.97","12,073.23","12,080.15","12,032.97"
"Jul 27, 2021","12,002.83","12,021.09","12,043.38","11,940.80"
"Jul 26, 2021","12,099.18","12,049.63","12,099.18","12,027.47"
"Jul 23, 2021","12,033.04","12,130.83","12,142.60","12,016.17"
"Jul 22, 2021","12,056.39","11,977.00","12,060.16","11,927.62"
"Jul 21, 2021","12,020.29","12,021.58","12,048.55","11,983.23"
"Jul 20, 2021","11,929.32","11,945.68","11,985.89","11,900.20"
"Jul 19, 2021","11,957.37","11,862.08","11,979.32","11,799.23"
"Jul 16, 2021","12,022.55","12,026.50","12,057.03","11,969.63"
"Jul 15, 2021","12,025.48","11,976.79","12,059.63","11,960.63"
"Jul 14, 2021","12,038.81","12,043.35","12,060.46","11,985.79"
"Jul 13, 2021","12,061.08","12,071.05","12,078.92","12,019.86"
"Jul 12, 2021","11,979.86","12,081.62","12,081.62","11,959.93"
"Jul 09, 2021","11,949.97","11,989.81","12,005.45","11,935.49"
"Jul 08, 2021","12,034.52","11,924.66","12,035.51","11,863.81"
"Jul 07, 2021","11,990.47","12,085.51","12,085.51","11,990.47"
"Jul 06, 2021","11,959.69","11,965.22","12,025.44","11,933.47"
"Jul 05, 2021","11,966.75","11,967.57","11,969.84","11,900.74"
"Jul 02, 2021","12,023.46","11,964.84","12,061.58","11,939.82"
"Jul 01, 2021","11,993.98","11,977.03","12,015.66","11,901.86"
"Jun 30, 2021","12,022.57","11,942.72","12,034.92","11,931.48"
"Jun 29, 2021","12,015.58","12,028.45","12,071.29","12,012.41"
"Jun 28, 2021","11,997.64","12,009.17","12,035.95","11,986.88"
"Jun 25, 2021","11,974.53","11,999.70","12,003.69","11,970.44"
"Jun 24, 2021","11,929.91","11,993.64","12,010.59","11,925.91"
"Jun 23, 2021","11,965.09","11,898.62","11,988.00","11,898.62"
"Jun 22, 2021","11,983.26","11,982.48","11,991.31","11,913.44"
"Jun 21, 2021","11,882.54","11,995.63","11,995.63","11,874.11"
"Jun 18, 2021","12,023.28","11,941.25","12,072.11","11,930.98"
"Jun 17, 2021","11,943.71","12,011.11","12,017.76","11,914.52"
"Jun 16, 2021","11,935.26","11,982.03","11,995.82","11,923.31"
"Jun 15, 2021","11,902.54","11,921.97","11,963.60","11,892.47"
"Jun 14, 2021","11,871.13","11,866.41","11,895.54","11,837.89"
"Jun 11, 2021","11,798.98","11,841.30","11,873.63","11,783.41"
"Jun 10, 2021","11,823.44","11,810.80","11,834.69","11,772.91"
"Jun 09, 2021","11,639.60","11,788.10","11,788.10","11,630.51"
"Jun 08, 2021","11,664.23","11,656.89","11,702.92","11,647.05"
"Jun 07, 2021","11,535.88","11,630.66","11,641.31","11,530.64"
"Jun 04, 2021","11,514.95","11,570.68","11,570.68","11,505.21"
"Jun 03, 2021","11,445.80","11,510.60","11,510.60","11,424.81"
"Jun 02, 2021","11,455.79","11,470.35","11,495.31","11,455.54"
"Jun 01, 2021","11,415.20","11,434.88","11,501.35","11,389.88"
"May 31, 2021","11,400.52","11,363.45","11,433.76","11,363.45"
"May 28, 2021","11,345.40","11,426.15","11,443.97","11,326.75"
"May 27, 2021","11,341.19","11,340.27","11,408.61","11,321.11"
"May 26, 2021","11,325.42","11,348.74","11,382.32","11,310.42"
"May 25, 2021","11,261.60","11,305.74","11,332.09","11,258.80"
"May 21, 2021","11,205.81","11,225.58","11,239.20","11,138.90"
"May 20, 2021","11,091.32","11,152.08","11,152.08","11,054.42"
"May 19, 2021","11,060.74","11,045.20","11,099.54","10,993.72"
"May 18, 2021","11,178.47","11,141.75","11,205.69","11,116.30"
"May 17, 2021","11,133.30","11,135.37","11,163.99","11,084.52"
"May 14, 2021","11,101.48","11,120.77","11,129.87","11,066.60"
"May 12, 2021","11,014.33","11,033.90","11,069.24","10,981.80"
"May 11, 2021","11,037.57","10,989.32","11,044.37","10,932.85"
"May 10, 2021","11,157.76","11,123.67","11,159.08","11,086.98"
"May 07, 2021","11,140.83","11,173.57","11,173.57","11,106.42"
"May 06, 2021","11,129.85","11,111.10","11,139.63","11,062.69"
"May 05, 2021","11,028.48","11,108.88","11,114.37","11,014.90"
"May 04, 2021","11,123.44","10,970.93","11,144.83","10,959.78"
"May 03, 2021","11,072.54","11,119.00","11,148.06","11,056.71"
"Apr 30, 2021","11,103.99","11,022.34","11,123.35","11,022.34"
"Apr 29, 2021","11,137.18","11,079.51","11,162.20","11,064.28"
"Apr 28, 2021","11,106.82","11,103.46","11,126.69","11,070.72"
"Apr 27, 2021","11,147.58","11,092.08","11,178.42","11,068.23"
"Apr 26, 2021","11,194.40","11,162.09","11,201.80","11,131.19"
"Apr 23, 2021","11,211.91","11,200.54","11,217.89","11,130.31"
"Apr 22, 2021","11,214.23","11,224.90","11,254.91","11,197.54"
"Apr 21, 2021","11,119.44","11,209.09","11,229.15","11,117.62"
"Apr 20, 2021","11,203.08","11,078.98","11,216.35","11,065.87"
"Apr 19, 2021","11,245.01","11,209.84","11,266.78","11,183.56"
