Date,Open,Close,High,Low
"Sep 30, 2021","7,730.63","7,698.82","7,743.16","7,698.10"
"Sep 29, 2021","7,755.85","7,730.63","7,755.85","7,706.91"
"Sep 28, 2021","7,751.40","7,756.31","7,766.40","7,741.53"
"Sep 27, 2021","7,774.09","7,751.76","7,781.21","7,742.28"
"Sep 26, 2021","7,825.25","7,774.81","7,839.73","7,763.56"
"Sep 23, 2021","7,783.73","7,824.79","7,825.71","7,751.34"
"Sep 22, 2021","7,754.80","7,781.83","7,786.51","7,744.66"
"Sep 21, 2021","7,745.70","7,754.33","7,755.09","7,665.14"
"Sep 20, 2021","7,808.43","7,745.70","7,829.59","7,742.05"
"Sep 19, 2021","7,883.22","7,808.09","7,890.32","7,807.91"
"Sep 16, 2021","7,823.68","7,883.22","7,883.38","7,789.11"
"Sep 15, 2021","7,761.81","7,823.68","7,826.39","7,755.76"
"Sep 14, 2021","7,765.15","7,761.81","7,772.85","7,739.36"
"Sep 13, 2021","7,819.66","7,764.69","7,819.66","7,694.70"
"Sep 12, 2021","7,860.57","7,819.66","7,866.69","7,819.66"
"Sep 09, 2021","7,771.01","7,860.57","7,876.77","7,747.15"
"Sep 08, 2021","7,717.43","7,771.04","7,771.04","7,716.35"
"Sep 07, 2021","7,628.02","7,718.34","7,718.49","7,626.84"
"Sep 06, 2021","7,637.83","7,628.48","7,651.92","7,580.38"
"Sep 05, 2021","7,652.98","7,636.88","7,654.33","7,616.71"
"Sep 02, 2021","7,650.68","7,652.98","7,662.09","7,605.65"
"Sep 01, 2021","7,685.07","7,649.31","7,695.02","7,643.75"
"Aug 31, 2021","7,686.24","7,684.62","7,686.56","7,649.02"
"Aug 30, 2021","7,652.02","7,684.87","7,685.04","7,636.01"
"Aug 29, 2021","7,623.58","7,652.15","7,652.23","7,614.05"
"Aug 26, 2021","7,665.06","7,625.01","7,665.13","7,597.90"
"Aug 25, 2021","7,681.75","7,665.15","7,685.04","7,636.06"
"Aug 24, 2021","7,683.98","7,681.53","7,686.52","7,649.52"
"Aug 23, 2021","7,679.36","7,683.98","7,686.71","7,652.28"
"Aug 22, 2021","7,620.21","7,679.25","7,682.70","7,615.25"
"Aug 19, 2021","7,694.59","7,620.21","7,694.86","7,620.21"
"Aug 18, 2021","7,730.59","7,694.59","7,730.99","7,660.20"
"Aug 17, 2021","7,663.25","7,729.87","7,730.02","7,654.26"
"Aug 16, 2021","7,600.92","7,662.86","7,680.21","7,593.04"
"Aug 15, 2021","7,594.35","7,601.64","7,650.56","7,584.44"
"Aug 11, 2021","7,558.73","7,594.35","7,665.94","7,552.11"
"Aug 10, 2021","7,572.77","7,558.73","7,593.93","7,548.42"
"Aug 09, 2021","7,501.52","7,572.82","7,573.23","7,501.52"
"Aug 08, 2021","7,419.73","7,501.38","7,521.96","7,416.49"
"Aug 05, 2021","7,406.56","7,419.27","7,419.84","7,376.54"
"Aug 04, 2021","7,433.10","7,405.09","7,443.22","7,401.67"
"Aug 03, 2021","7,403.61","7,433.38","7,433.74","7,395.86"
"Aug 02, 2021","7,391.74","7,404.33","7,405.30","7,323.42"
"Aug 01, 2021","7,318.90","7,393.11","7,505.17","7,318.90"
"Jul 29, 2021","7,245.22","7,318.18","7,318.18","7,245.22"
"Jul 28, 2021","7,170.01","7,243.78","7,283.74","7,123.67"
"Jul 27, 2021","7,173.83","7,170.96","7,263.13","7,150.38"
"Jul 26, 2021","7,105.76","7,169.03","7,169.03","7,084.24"
"Jul 25, 2021","7,067.43","7,105.76","7,141.23","7,067.43"
"Jul 18, 2021","7,068.98","7,065.13","7,103.99","7,064.24"
"Jul 15, 2021","7,080.88","7,068.98","7,103.51","7,051.78"
"Jul 14, 2021","7,046.47","7,079.50","7,079.50","7,027.02"
"Jul 13, 2021","7,020.84","7,046.47","7,062.60","7,016.20"
"Jul 12, 2021","6,993.27","7,022.68","7,037.86","6,993.27"
"Jul 11, 2021","6,963.23","6,993.27","7,014.69","6,961.28"
"Jul 08, 2021","6,969.18","6,963.23","7,004.56","6,957.20"
"Jul 07, 2021","6,985.02","6,969.64","6,995.44","6,948.81"
"Jul 06, 2021","6,995.78","6,984.89","7,057.56","6,977.19"
"Jul 05, 2021","6,947.69","6,995.32","7,041.04","6,936.74"
"Jul 04, 2021","6,901.57","6,948.63","6,981.59","6,901.57"
"Jul 01, 2021","6,835.43","6,899.27","6,998.54","6,835.43"
"Jun 30, 2021","6,761.65","6,835.43","6,835.63","6,756.31"
"Jun 29, 2021","6,749.16","6,763.08","6,776.56","6,698.63"
"Jun 28, 2021","6,706.65","6,749.16","6,812.82","6,705.19"
"Jun 27, 2021","6,577.51","6,706.65","6,710.23","6,577.51"
"Jun 24, 2021","6,641.75","6,576.05","6,646.08","6,575.67"
"Jun 23, 2021","6,651.11","6,642.97","6,652.51","6,625.53"
"Jun 22, 2021","6,614.97","6,650.95","6,650.95","6,608.94"
"Jun 21, 2021","6,647.44","6,615.94","6,647.63","6,615.77"
"Jun 20, 2021","6,646.83","6,648.91","6,685.56","6,645.07"
"Jun 17, 2021","6,692.69","6,646.83","6,692.69","6,639.75"
"Jun 16, 2021","6,740.68","6,697.09","6,743.59","6,688.72"
"Jun 15, 2021","6,737.58","6,740.68","6,743.60","6,712.77"
"Jun 14, 2021","6,701.88","6,736.11","6,741.11","6,701.17"
"Jun 13, 2021","6,716.63","6,701.88","6,726.66","6,694.82"
"Jun 10, 2021","6,712.71","6,716.14","6,723.39","6,686.44"
"Jun 09, 2021","6,670.65","6,711.30","6,714.75","6,670.65"
"Jun 08, 2021","6,643.30","6,670.65","6,673.08","6,628.15"
"Jun 07, 2021","6,624.48","6,646.14","6,649.75","6,602.27"
"Jun 06, 2021","6,607.11","6,623.41","6,641.13","6,607.11"
"Jun 03, 2021","6,626.24","6,606.13","6,626.53","6,587.67"
"Jun 02, 2021","6,612.16","6,626.24","6,635.28","6,596.01"
"Jun 01, 2021","6,563.95","6,613.37","6,613.37","6,551.12"
"May 31, 2021","6,513.09","6,558.71","6,558.71","6,496.31"
"May 30, 2021","6,548.19","6,513.09","6,558.90","6,500.35"
