,originator_bank_country,beneficiary_bank_country,0,originator_latitude,originator_longitude,beneficiary_latitude,beneficiary_longitude
0,Latvia,Switzerland,273,56.8406494,24.7537645,46.7985624,8.2319736
1,Latvia,Russia,189,56.8406494,24.7537645,64.6863136,97.7453061
2,Russia,Latvia,155,64.6863136,97.7453061,56.8406494,24.7537645
3,Russia,Cyprus,93,64.6863136,97.7453061,34.9823018,33.1451285
4,Russia,Russia,80,64.6863136,97.7453061,64.6863136,97.7453061
5,Latvia,Netherlands,79,56.8406494,24.7537645,52.5001698,5.7480821
6,Russia,Turkey,68,64.6863136,97.7453061,38.9597594,34.9249653
7,Russia,Estonia,61,64.6863136,97.7453061,58.7523778,25.3319078
8,Ukraine,Latvia,60,49.4871968,31.2718321,56.8406494,24.7537645
9,Congo,United Arab Emirates,55,-0.7264327,15.6419155,24.0002488,53.9994829
10,Cyprus,Russia,52,34.9823018,33.1451285,64.6863136,97.7453061
11,United Arab Emirates,Netherlands,51,24.0002488,53.9994829,52.5001698,5.7480821
12,United States,United States,50,39.7837304,-100.4458825,39.7837304,-100.4458825
13,Switzerland,Latvia,44,46.7985624,8.2319736,56.8406494,24.7537645
14,United Kingdom,Australia,43,54.7023545,-3.2765753,-24.7761086,134.755
15,Russia,Switzerland,40,64.6863136,97.7453061,46.7985624,8.2319736
16,Singapore,Singapore,39,1.357107,103.8194992,1.357107,103.8194992
17,Philippines,Hong Kong,39,12.7503486,122.7312101,22.2793278,114.1628131
18,China,China,37,35.000074,104.999927,35.000074,104.999927
19,Hong Kong,Singapore,36,22.2793278,114.1628131,1.357107,103.8194992
